* Measurement data measured by REW V5.31.3
* Source: Umik-1  Gain: 18dB, , L, volume: no control. Timing signal peak level -40.9 dBFS, measurement signal peak level -33.5 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Jul 7, 2026 3:57:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: droite 10 gauche 11 Delay -0.0840 ms (-29 mm, -1.13 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset
* Measurement: L+R retour sans eq Jul 7
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 49.527 -146.9791
20.287556 49.611 -146.2102
20.434568 49.754 -144.9049
20.582645 49.962 -143.0176
20.731796 50.233 -140.5922
20.882027 50.551 -137.7650
21.033346 50.893 -134.7258
21.185763 51.231 -131.6719
21.339284 51.539 -128.7709
21.493917 51.798 -126.1453
21.649671 51.998 -123.8791
21.806553 52.134 -122.0260
21.964572 52.210 -120.6188
22.123737 52.235 -119.6718
22.284054 52.220 -119.1751
22.445534 52.180 -119.0876
22.608183 52.123 -119.3277
22.772012 52.052 -119.7717
22.937027 51.966 -120.2616
23.103238 51.854 -120.6185
23.270654 51.705 -120.6633
23.439282 51.509 -120.2344
23.609133 51.262 -119.2087
23.780215 50.977 -117.5347
23.952536 50.683 -115.2783
24.126106 50.424 -112.6797
24.300934 50.256 -110.1714
24.477028 50.223 -108.3000
24.654399 50.343 -107.5534
24.833055 50.595 -108.1729
25.013005 50.930 -110.0713
25.194260 51.284 -112.8644
25.376828 51.602 -115.9721
25.560719 51.846 -118.7068
25.745942 52.012 -120.2692
25.932508 52.151 -119.6302
26.120426 52.386 -115.3169
26.309705 52.895 -105.6092
26.500356 53.807 -90.6941
26.692388 55.092 -75.6842
26.885812 56.589 -65.9734
27.080638 58.123 -62.0162
27.276876 59.572 -62.1042
27.474535 60.879 -64.7475
27.673627 62.021 -68.9785
27.874161 62.997 -74.1718
28.076149 63.812 -79.9004
28.279600 64.475 -85.8534
28.484526 64.997 -91.8002
28.690937 65.389 -97.5678
28.898843 65.665 -103.0333
29.108256 65.840 -108.1143
29.319186 65.934 -112.7677
29.531645 65.969 -116.9865
29.745644 65.969 -120.7995
29.961193 65.957 -124.2648
30.178304 65.952 -127.4607
30.396989 65.965 -130.4660
30.617258 65.998 -133.3404
30.839123 66.045 -136.1076
31.062596 66.094 -138.7501
31.287688 66.133 -141.2150
31.514412 66.152 -143.4308
31.742778 66.147 -145.3256
31.972800 66.121 -146.8441
32.204488 66.082 -147.9602
32.437855 66.045 -148.6832
32.672913 66.025 -149.0565
32.909674 66.036 -149.1499
33.148151 66.088 -149.0489
33.388356 66.184 -148.8433
33.630302 66.319 -148.6231
33.874001 66.485 -148.4781
34.119466 66.673 -148.4999
34.366710 66.867 -148.7772
34.615745 67.055 -149.3835
34.866585 67.224 -150.3571
35.119243 67.361 -151.6807
35.373731 67.459 -153.2684
35.630064 67.510 -154.9652
35.888254 67.515 -156.5638
36.148315 67.481 -157.8345
36.410261 67.423 -158.5709
36.674104 67.366 -158.6399
36.939860 67.345 -158.0276
37.207542 67.390 -156.8640
37.477163 67.525 -155.3991
37.748738 67.753 -153.9274
38.022281 68.063 -152.6907
38.297806 68.428 -151.8123
38.575327 68.825 -151.2939
38.854860 69.234 -151.0604
39.136419 69.645 -151.0164
39.420017 70.057 -151.0888
39.705671 70.471 -151.2452
39.993395 70.894 -151.4890
40.283203 71.329 -151.8428
40.575112 71.779 -152.3304
40.869136 72.240 -152.9677
41.165290 72.709 -153.7628
41.463591 73.178 -154.7232
41.764053 73.637 -155.8598
42.066693 74.079 -157.1849
42.371525 74.495 -158.7031
42.678567 74.880 -160.3998
42.987834 75.231 -162.2348
43.299341 75.551 -164.1451
43.613106 75.844 -166.0568
43.929145 76.122 -167.9044
44.247473 76.394 -169.6490
44.568109 76.674 -171.2901
44.891068 76.968 -172.8642
45.216367 77.282 -174.4307
45.544023 77.610 -176.0512
45.874054 77.947 -177.7698
46.206476 78.281 -179.6021
46.541307 78.606 178.4664
46.878565 78.917 176.4735
47.218266 79.214 174.4688
47.560429 79.505 172.4995
47.905072 79.796 170.5969
48.252212 80.095 168.7654
48.601867 80.409 166.9802
48.954056 80.737 165.1946
49.308798 81.077 163.3560
49.666109 81.426 161.4224
50.026010 81.778 159.3734
50.388520 82.134 157.2096
50.753656 82.492 154.9447
51.121437 82.858 152.5936
51.491884 83.237 150.1628
51.865016 83.634 147.6445
52.240851 84.054 145.0144
52.619410 84.499 142.2307
53.000712 84.968 139.2356
53.384777 85.456 135.9602
53.771625 85.952 132.3345
54.161276 86.444 128.3003
54.553751 86.913 123.8232
54.949070 87.343 118.9000
55.347254 87.716 113.5597
55.748323 88.015 107.8621
56.152298 88.224 101.8952
56.559201 88.332 95.7748
56.969052 88.329 89.6437
57.381873 88.216 83.6668
57.797686 87.999 78.0186
58.216512 87.698 72.8635
58.638373 87.340 68.3371
59.063291 86.964 64.5355
59.491288 86.623 61.5070
59.922386 86.382 59.2246
60.356608 86.314 57.5115
60.793977 86.472 55.9587
61.234515 86.851 53.9536
61.678246 87.376 50.8881
62.125192 87.930 46.4051
62.575377 88.407 40.4887
63.028824 88.730 33.3865
63.485557 88.856 25.4798
63.945599 88.772 17.1829
64.408975 88.484 8.8768
64.875709 88.010 0.8661
65.345825 87.383 -6.6472
65.819348 86.643 -13.5756
66.296302 85.834 -19.9436
66.776713 85.002 -25.8763
67.260604 84.183 -31.5736
67.748002 83.392 -37.2611
68.238932 82.618 -43.1183
68.733420 81.824 -49.2039
69.231490 80.959 -55.4125
69.733170 79.977 -61.4836
70.238485 78.847 -67.0540
70.747463 77.560 -71.7419
71.260128 76.135 -75.2492
71.776508 74.611 -77.4675
72.296630 73.049 -78.5653
72.820521 71.531 -79.0238
73.348209 70.146 -79.5927
73.879720 68.983 -81.1493
74.415083 68.106 -84.5098
74.954326 67.540 -90.2955
75.497475 67.277 -98.8836
76.044561 67.304 -110.3357
76.595612 67.607 -124.2257
77.150655 68.168 -139.5159
77.709720 68.956 -154.8169
78.272837 69.918 -169.0081
78.840034 70.983 178.3531
79.411342 72.072 167.1373
79.986789 73.115 156.9802
80.566406 74.057 147.5355
81.150224 74.872 138.5825
81.738272 75.557 130.0504
82.330581 76.136 121.9905
82.927182 76.647 114.4938
83.528107 77.134 107.5810
84.133386 77.628 101.1318
84.743051 78.137 94.9023
85.357134 78.644 88.6099
85.975667 79.112 82.0377
86.598682 79.501 75.1044
87.226212 79.777 67.8671
87.858289 79.921 60.4703
88.494946 79.923 53.0823
89.136217 79.777 45.8700
89.782135 79.475 39.0198
90.432733 79.007 32.7913
91.088046 78.367 27.5684
91.748108 77.576 23.8630
92.412952 76.693 22.1820
93.082615 75.833 22.6843
93.757130 75.137 24.7723
94.436533 74.705 27.1624
95.120859 74.528 28.6624
95.810144 74.499 28.8145
96.504423 74.494 27.8303
97.203734 74.425 26.2325
97.908112 74.256 24.5981
98.617595 74.001 23.4185
99.332219 73.710 22.9968
100.052021 73.453 23.3712
100.777039 73.296 24.3213
101.507311 73.274 25.4898
102.242875 73.392 26.5379
102.983769 73.637 27.2120
103.730032 73.989 27.3172
104.481702 74.424 26.6807
105.238820 74.906 25.1526
106.001424 75.391 22.6367
106.769554 75.829 19.1214
107.543250 76.174 14.6978
108.322553 76.382 9.5552
109.107503 76.425 3.9581
109.898141 76.287 -1.7882
110.694508 75.968 -7.3724
111.496646 75.486 -12.4997
112.304596 74.874 -16.9176
113.118402 74.185 -20.4662
113.938104 73.500 -23.1599
114.763747 72.918 -25.2888
115.595372 72.536 -27.4818
116.433024 72.388 -30.6007
117.276746 72.421 -35.4351
118.126581 72.512 -42.4468
118.982575 72.535 -51.7916
119.844772 72.403 -63.5670
120.713217 72.081 -78.1513
121.587954 71.583 -96.5917
122.469031 70.966 -120.7841
123.356492 70.332 -151.4922
124.250384 69.815 177.0110
125.150753 69.561 152.4890
126.057647 69.679 135.5759
126.971113 70.185 123.6995
127.891198 70.994 114.6870
128.817950 71.973 107.0876
129.751418 72.994 99.9761
130.691651 73.964 92.8207
131.638696 74.822 85.3767
132.592604 75.532 77.5885
133.553425 76.080 69.5104
134.521208 76.468 61.2327
135.496004 76.712 52.8126
136.477864 76.833 44.2430
137.466839 76.842 35.4691
138.462981 76.737 26.4417
139.466340 76.492 17.1650
140.476971 76.070 7.7207
141.494925 75.444 -1.7382
142.520256 74.605 -11.0125
143.553016 73.579 -19.8632
144.593260 72.437 -27.8945
145.641043 71.317 -33.6481
146.696418 70.431 32.6207
147.759441 69.991 119.9397
148.830166 70.071 116.3866
149.908651 70.561 111.8064
150.994951 71.295 107.7843
152.089123 72.173 104.7456
153.191223 73.178 102.8278
154.301310 74.322 101.8181
155.419441 75.589 101.0750
156.545674 76.922 99.7715
157.680069 78.244 97.3112
158.822683 79.491 93.4971
159.973578 80.615 88.4181
161.132813 81.589 82.2936
162.300447 82.395 75.3859
163.476543 83.026 67.9636
164.661162 83.483 60.2876
165.854364 83.778 52.5989
167.056213 83.934 45.1034
168.266772 83.981 37.9470
169.486102 83.956 31.1926
170.714268 83.893 24.8126
171.951334 83.816 18.7052
173.197364 83.733 12.7325
174.452424 83.638 6.7672
175.716578 83.514 0.7333
176.989893 83.345 -5.3864
178.272434 83.123 -11.5775
179.564270 82.850 -17.8485
180.865467 82.523 -24.2554
182.176092 82.124 -30.8577
183.496216 81.616 -37.6111
184.825905 80.956 -44.2902
186.165229 80.113 -50.4719
187.514259 79.084 -55.5018
188.873065 77.908 -58.2687
190.241717 76.693 -56.4895
191.620287 75.650 -45.2761
193.008847 75.074 -20.6198
194.407468 75.152 2.4590
195.816225 75.780 11.9662
197.235190 76.684 13.0415
198.664438 77.645 10.1372
200.104042 78.548 5.2037
201.554078 79.339 -0.9626
203.014622 79.982 -8.0397
204.485750 80.441 -15.8320
205.967538 80.681 -24.0795
207.460064 80.680 -32.3822
208.963405 80.429 -40.1722
210.477640 79.939 -46.6709
212.002848 79.252 -50.8755
213.539108 78.458 -51.8973
215.086500 77.706 -50.0342
216.645105 77.148 -47.4673
218.215005 76.846 -46.6030
219.796281 76.738 -48.2145
221.389015 76.702 -51.8273
222.993292 76.635 -56.6990
224.609193 76.477 -62.2365
226.236804 76.198 -68.0431
227.876209 75.785 -73.8446
229.527494 75.230 -79.3982
231.190745 74.533 -84.4417
232.866048 73.706 -88.6727
234.553491 72.773 -91.7438
236.253163 71.791 -93.3156
237.965150 70.856 -93.2648
239.689544 70.106 -92.0243
241.426433 69.673 -90.6588
243.175909 69.611 -90.3765
244.938062 69.874 -91.9839
246.712984 70.352 -95.8406
248.500768 70.924 -102.0575
250.301507 71.493 -110.6195
252.115295 71.993 -121.4351
253.942226 72.393 -134.3839
255.782396 72.687 -149.3286
257.635901 72.893 -166.0477
259.502837 73.044 175.8691
261.383301 73.179 157.0509
263.277392 73.332 138.2455
265.185209 73.519 120.1505
267.106850 73.733 103.2231
269.042417 73.952 87.6149
270.992009 74.154 73.2604
272.955729 74.330 59.9833
274.933678 74.470 47.5511
276.925961 74.561 35.7185
278.932681 74.573 24.2990
280.953942 74.468 13.2363
282.989850 74.215 2.6437
285.040511 73.796 -7.1666
287.106032 73.220 -15.5944
289.186521 72.522 -21.5029
291.282086 71.778 -22.9191
293.392836 71.107 -17.7910
295.518881 70.620 -8.2072
297.660333 70.333 -1.4371
299.817302 70.143 -0.5341
301.989902 69.899 -3.4569
304.178245 69.498 -7.6125
306.382446 68.923 -11.0371
308.602620 68.254 -12.2719
310.838882 67.671 -10.4368
313.091348 67.407 -5.8749
315.360137 67.603 -0.6985
317.645367 68.192 2.4823
319.947156 68.959 2.4906
322.265625 69.710 -0.3804
324.600895 70.341 -5.2764
326.953086 70.828 -11.3909
329.322323 71.192 -18.2188
331.708729 71.450 -25.5601
334.112427 71.600 -33.3718
336.533543 71.621 -41.6041
338.972204 71.496 -50.1208
341.428536 71.223 -58.7439
343.902668 70.819 -67.3384
346.394729 70.313 -75.8246
