* Measurement data measured by REW V5.31.3
* Source: Umik-1  Gain: 18dB, , L, volume: no control. Timing signal peak level -44.8 dBFS, measurement signal peak level -36.3 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Jul 28, 2026 6:43:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; gauche :0.773 du mur gauche 0,539 mur arriere droite: 3.219 du mur gauche 0.515 mur arriere Delay -0.2758 ms (-95 mm, -3.72 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset
* Measurement: L baseline Jul 28
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 45.141 -124.8599
20.287556 45.173 -123.4954
20.434568 45.191 -121.4425
20.582645 45.155 -118.8416
20.731796 45.037 -115.8380
20.882027 44.823 -112.5934
21.033346 44.513 -109.3006
21.185763 44.126 -106.2031
21.339284 43.692 -103.6009
21.493917 43.258 -101.8210
21.649671 42.883 -101.1569
21.806553 42.631 -101.7683
21.964572 42.550 -103.5779
22.123737 42.649 -106.2469
22.284054 42.891 -109.2705
22.445534 43.203 -112.1584
22.608183 43.508 -114.5772
22.772012 43.736 -116.3700
22.937027 43.838 -117.4997
23.103238 43.782 -117.9740
23.270654 43.554 -117.7894
23.439282 43.160 -116.9034
23.609133 42.626 -115.2347
23.780215 42.004 -112.7022
23.952536 41.376 -109.3126
24.126106 40.843 -105.2675
24.300934 40.498 -100.9804
24.477028 40.384 -96.8896
24.654399 40.476 -93.1550
24.833055 40.720 -89.4376
25.013005 41.095 -84.7774
25.194260 41.658 -77.2528
25.376828 42.530 -63.4031
25.560719 43.797 -40.4514
25.745942 45.413 -16.4532
25.932508 47.223 -2.4865
26.120426 49.079 2.4332
26.309705 50.880 2.0896
26.500356 52.578 -1.1960
26.692388 54.156 -6.0914
26.885812 55.610 -11.7524
27.080638 56.942 -17.6166
27.276876 58.154 -23.3400
27.474535 59.246 -28.7579
27.673627 60.220 -33.8443
27.874161 61.081 -38.6671
28.076149 61.834 -43.3490
28.279600 62.488 -48.0348
28.484526 63.054 -52.8630
28.690937 63.540 -57.9412
28.898843 63.952 -63.3233
29.108256 64.290 -68.9956
29.319186 64.551 -74.8710
29.531645 64.727 -80.7960
29.745644 64.806 -86.5643
29.961193 64.778 -91.9314
30.178304 64.636 -96.6169
30.396989 64.387 -100.3052
30.617258 64.063 -102.6476
30.839123 63.728 -103.3143
31.062596 63.489 -102.1490
31.287688 63.470 -99.4375
31.514412 63.750 -96.0796
31.742778 64.310 -93.3069
31.972800 65.043 -92.0560
32.204488 65.824 -92.6291
32.437855 66.558 -94.8379
32.672913 67.193 -98.2720
32.909674 67.704 -102.4750
33.148151 68.091 -107.0175
33.388356 68.363 -111.5329
33.630302 68.535 -115.7369
33.874001 68.631 -119.4441
34.119466 68.675 -122.5818
34.366710 68.693 -125.1871
34.615745 68.705 -127.3863
34.866585 68.726 -129.3493
35.119243 68.760 -131.2334
35.373731 68.805 -133.1302
35.630064 68.852 -135.0396
35.888254 68.896 -136.8796
36.148315 68.936 -138.5260
36.410261 68.978 -139.8674
36.674104 69.035 -140.8555
36.939860 69.127 -141.5335
37.207542 69.269 -142.0322
37.477163 69.471 -142.5286
37.748738 69.732 -143.1830
38.022281 70.040 -144.0842
38.297806 70.378 -145.2247
38.575327 70.726 -146.5175
38.854860 71.069 -147.8397
39.136419 71.400 -149.0798
39.420017 71.717 -150.1742
39.705671 72.028 -151.1239
39.993395 72.342 -151.9893
40.283203 72.671 -152.8700
40.575112 73.024 -153.8752
40.869136 73.406 -155.0966
41.165290 73.816 -156.5926
41.463591 74.250 -158.3899
41.764053 74.699 -160.4962
42.066693 75.156 -162.9146
42.371525 75.608 -165.6505
42.678567 76.044 -168.7072
42.987834 76.449 -172.0749
43.299341 76.806 -175.7177
43.613106 77.101 -179.5669
43.929145 77.320 176.4796
44.247473 77.456 172.5511
44.568109 77.508 168.7918
44.891068 77.484 165.3448
45.216367 77.403 162.3308
45.544023 77.293 159.8225
45.874054 77.187 157.8192
46.206476 77.118 156.2320
46.541307 77.108 154.8955
46.878565 77.163 153.6127
47.218266 77.271 152.2138
47.560429 77.409 150.6012
47.905072 77.555 148.7601
48.252212 77.694 146.7387
48.601867 77.817 144.6167
48.954056 77.924 142.4746
49.308798 78.017 140.3750
49.666109 78.101 138.3569
50.026010 78.177 136.4413
50.388520 78.246 134.6422
50.753656 78.311 132.9768
51.121437 78.379 131.4658
51.491884 78.459 130.1236
51.865016 78.562 128.9435
52.240851 78.698 127.8854
52.619410 78.872 126.8774
53.000712 79.085 125.8327
53.384777 79.333 124.6743
53.771625 79.611 123.3533
54.161276 79.914 121.8511
54.553751 80.239 120.1635
54.949070 80.586 118.2786
55.347254 80.956 116.1662
55.748323 81.344 113.7839
56.152298 81.740 111.0990
56.559201 82.124 108.1099
56.969052 82.480 104.8538
57.381873 82.796 101.3991
57.797686 83.074 97.8293
58.216512 83.331 94.2202
58.638373 83.600 90.6121
59.063291 83.912 86.9799
59.491288 84.289 83.2148
59.922386 84.729 79.1430
60.356608 85.208 74.5808
60.793977 85.686 69.3968
61.234515 86.121 63.5438
61.678246 86.475 57.0537
62.125192 86.724 50.0124
62.575377 86.848 42.5415
63.028824 86.836 34.7940
63.485557 86.679 26.9529
63.945599 86.373 19.2230
64.408975 85.916 11.8098
64.875709 85.314 4.8972
65.345825 84.585 -1.3680
65.819348 83.753 -6.8887
66.296302 82.850 -11.6227
66.776713 81.908 -15.5762
67.260604 80.953 -18.7748
67.748002 80.003 -21.2186
68.238932 79.071 -22.8464
68.733420 78.178 -23.5414
69.231490 77.361 -23.2065
69.733170 76.681 -21.9161
70.238485 76.212 -20.0673
70.747463 75.995 -18.3536
71.260128 76.009 -17.4805
71.776508 76.176 -17.8661
72.296630 76.407 -19.5881
72.820521 76.629 -22.5153
73.348209 76.793 -26.4381
73.879720 76.865 -31.1282
74.415083 76.825 -36.3555
74.954326 76.657 -41.8922
75.497475 76.358 -47.5163
76.044561 75.934 -53.0166
76.595612 75.404 -58.2102
77.150655 74.806 -62.9803
77.709720 74.191 -67.3329
78.272837 73.627 -71.4441
78.840034 73.178 -75.6558
79.411342 72.894 -80.3959
79.986789 72.785 -86.0508
80.566406 72.822 -92.8745
81.150224 72.947 -100.9931
81.738272 73.099 -110.4739
82.330581 73.232 -121.3732
82.927182 73.330 -133.7230
83.528107 73.398 -147.4882
84.133386 73.455 -162.5325
84.743051 73.524 -178.5865
85.357134 73.616 164.7663
85.975667 73.721 148.0076
86.598682 73.810 131.5167
87.226212 73.846 115.4810
87.858289 73.797 99.9728
88.494946 73.635 85.0630
89.136217 73.339 70.8658
89.782135 72.889 57.5433
90.432733 72.268 45.3600
91.088046 71.465 34.8212
91.748108 70.492 26.9874
92.412952 69.405 24.2399
93.082615 68.332 31.6539
93.757130 67.481 52.9091
94.436533 67.060 72.6554
95.120859 67.119 79.8298
95.810144 67.525 79.5636
96.504423 68.081 76.0745
97.203734 68.641 71.1926
97.908112 69.121 65.7080
98.617595 69.480 60.0201
99.332219 69.697 54.3957
100.052021 69.769 49.0595
100.777039 69.706 44.2145
101.507311 69.527 40.0391
102.242875 69.261 36.6825
102.983769 68.948 34.2659
103.730032 68.638 32.8785
104.481702 68.397 32.5336
105.238820 68.300 33.0667
106.001424 68.403 34.0306
106.769554 68.718 34.7427
107.543250 69.191 34.5469
108.322553 69.731 33.0916
109.107503 70.245 30.3874
109.898141 70.669 26.6866
110.694508 70.970 22.3410
111.496646 71.142 17.6948
112.304596 71.199 13.0154
113.118402 71.176 8.4631
113.938104 71.112 4.0793
114.763747 71.046 -0.2180
115.595372 71.007 -4.6097
116.433024 70.998 -9.3155
117.276746 71.000 -14.5270
118.126581 70.978 -20.3626
118.982575 70.891 -26.8487
119.844772 70.704 -33.9167
120.713217 70.391 -41.4253
121.587954 69.939 -49.2253
122.469031 69.354 -57.2336
123.356492 68.653 -65.4839
124.250384 67.866 -74.1923
125.150753 67.028 -83.8476
126.057647 66.188 -95.3570
126.971113 65.420 -110.6184
127.891198 64.835 -134.8914
128.817950 64.557 178.9348
129.751418 64.662 125.0728
130.691651 65.121 94.5530
131.638696 65.820 75.7480
132.592604 66.632 61.1359
133.553425 67.463 48.1906
134.521208 68.255 35.8357
135.496004 68.968 23.4160
136.477864 69.574 10.4554
137.466839 70.048 -3.3242
138.462981 70.375 -18.0021
139.466340 70.549 -33.5691
140.476971 70.580 -50.0377
141.494925 70.496 -67.4418
142.520256 70.336 -85.7198
143.553016 70.137 -104.6029
144.593260 69.916 -123.6433
145.641043 69.666 -142.2744
146.696418 69.364 -159.8193
147.759441 68.994 -175.5577
148.830166 68.570 171.1375
149.908651 68.165 160.7183
150.994951 67.926 153.3854
152.089123 68.045 148.8689
153.191223 68.637 146.1842
154.301310 69.640 143.8622
155.419441 70.872 140.6960
156.545674 72.163 136.1940
157.680069 73.406 130.3849
158.822683 74.547 123.4744
159.973578 75.552 115.6819
161.132813 76.404 107.2192
162.300447 77.097 98.2994
163.476543 77.634 89.1234
164.661162 78.025 79.8583
165.854364 78.287 70.6307
167.056213 78.436 61.5254
168.266772 78.494 52.5741
169.486102 78.481 43.7471
170.714268 78.409 34.9675
171.951334 78.282 26.1530
173.197364 78.091 17.2467
174.452424 77.823 8.2225
175.716578 77.459 -0.9198
176.989893 76.974 -10.1442
178.272434 76.341 -19.3639
179.564270 75.540 -28.4535
180.865467 74.563 -37.2915
182.176092 73.419 -45.8246
183.496216 72.137 -54.1313
184.825905 70.776 -62.5236
186.165229 69.464 -71.8018
187.514259 68.431 -84.3500
188.873065 67.979 -112.9987
190.241717 68.264 147.2031
191.620287 69.119 109.0057
193.008847 70.219 93.0419
194.407468 71.316 80.5243
195.816225 72.274 68.8058
197.235190 73.032 57.2830
198.664438 73.568 45.8584
200.104042 73.882 34.6210
201.554078 73.992 23.7351
203.014622 73.928 13.4321
204.485750 73.721 4.1389
205.967538 73.417 -3.1991
207.460064 73.095 -6.6019
208.963405 72.870 -2.8806
210.477640 72.843 8.4900
212.002848 73.016 18.4454
213.539108 73.285 20.0621
215.086500 73.512 15.4164
216.645105 73.602 7.6860
218.215005 73.522 -1.2621
219.796281 73.287 -10.5104
221.389015 72.939 -19.6917
222.993292 72.524 -28.7657
224.609193 72.074 -37.8619
226.236804 71.589 -47.1316
227.876209 71.040 -56.6078
229.527494 70.386 -66.1038
231.190745 69.601 -75.1584
232.866048 68.705 -82.9072
234.553491 67.783 -87.6250
236.253163 66.988 -85.8125
237.965150 66.491 -73.6157
239.689544 66.364 -59.1627
241.426433 66.507 -56.1813
243.175909 66.739 -63.5505
244.938062 66.916 -76.9609
246.712984 66.980 -94.1133
248.500768 66.930 -113.8853
250.301507 66.800 -135.4502
252.115295 66.614 -157.7373
253.942226 66.375 -179.3306
255.782396 66.067 161.1536
257.635901 65.684 144.6926
259.502837 65.270 131.8169
261.383301 64.943 122.5947
263.277392 64.856 116.3411
265.185209 65.086 111.5098
267.106850 65.546 106.4741
269.042417 66.065 100.4866
270.992009 66.508 93.7185
272.955729 66.826 86.7083
274.933678 67.029 79.9114
276.925961 67.156 73.5205
278.932681 67.232 67.5044
280.953942 67.258 61.7764
282.989850 67.219 56.3589
285.040511 67.109 51.4355
287.106032 66.943 47.3218
289.186521 66.778 44.3616
291.282086 66.708 42.5952
293.392836 66.809 41.3394
295.518881 67.062 39.3889
297.660333 67.345 35.8970
299.817302 67.507 30.8960
301.989902 67.445 25.1492
304.178245 67.124 19.8555
306.382446 66.589 16.5298
308.602620 65.974 16.8699
310.838882 65.491 21.7998
313.091348 65.332 29.1887
315.360137 65.509 34.3308
317.645367 65.843 34.9309
319.947156 66.122 32.0315
322.265625 66.223 27.7224
324.600895 66.129 24.1716
326.953086 65.919 23.5181
329.322323 65.733 27.0093
331.708729 65.692 32.7246
334.112427 65.794 36.2112
336.533543 65.913 35.5066
338.972204 65.908 31.8015
341.428536 65.705 27.0229
343.902668 65.331 22.6631
346.394729 64.903 19.4402
