* Measurement data measured by REW V5.31.3
* Source: Umik-1  Gain: 18dB, , L, volume: no control. Timing signal peak level -41.9 dBFS, measurement signal peak level -34.2 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Jul 28, 2026 6:45:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; gauche :0.773 du mur gauche 0,539 mur arriere droite: 3.219 du mur gauche 0.515 mur arriere Delay 0.0241 ms (8.3 mm, 0.33 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset
* Measurement: L+R baseline Jul 28
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 51.290 -126.0869
20.287556 51.220 -125.9076
20.434568 51.117 -125.6110
20.582645 50.990 -125.2083
20.731796 50.852 -124.7429
20.882027 50.717 -124.2919
21.033346 50.598 -123.9507
21.185763 50.508 -123.8119
21.339284 50.457 -123.9420
21.493917 50.449 -124.3589
21.649671 50.486 -125.0222
21.806553 50.561 -125.8352
21.964572 50.666 -126.6584
22.123737 50.788 -127.3350
22.284054 50.913 -127.7163
22.445534 51.029 -127.6833
22.608183 51.126 -127.1643
22.772012 51.203 -126.1452
22.937027 51.260 -124.6796
23.103238 51.306 -122.8960
23.270654 51.351 -120.9949
23.439282 51.408 -119.2335
23.609133 51.486 -117.8889
23.780215 51.592 -117.2085
23.952536 51.726 -117.3623
24.126106 51.881 -118.4056
24.300934 52.045 -120.2686
24.477028 52.198 -122.7655
24.654399 52.314 -125.6267
24.833055 52.366 -128.5385
25.013005 52.326 -131.1676
25.194260 52.176 -133.1540
25.376828 51.915 -134.0362
25.560719 51.582 -133.0742
25.745942 51.289 -128.8506
25.932508 51.244 -118.5582
26.120426 51.679 -98.4616
26.309705 52.680 -72.4530
26.500356 54.105 -53.8168
26.692388 55.718 -44.9256
26.885812 57.344 -41.8906
27.080638 58.891 -42.0377
27.276876 60.324 -44.0123
27.474535 61.632 -47.1115
27.673627 62.819 -50.9439
27.874161 63.890 -55.2774
28.076149 64.851 -59.9677
28.279600 65.709 -64.9208
28.484526 66.471 -70.0708
28.690937 67.143 -75.3663
28.898843 67.733 -80.7621
29.108256 68.248 -86.2157
29.319186 68.694 -91.6876
29.531645 69.080 -97.1431
29.745644 69.412 -102.5563
29.961193 69.694 -107.9122
30.178304 69.931 -113.2074
30.396989 70.125 -118.4483
30.617258 70.275 -123.6458
30.839123 70.378 -128.8087
31.062596 70.429 -133.9361
31.287688 70.419 -139.0099
31.514412 70.340 -143.9872
31.742778 70.183 -148.7943
31.972800 69.941 -153.3198
32.204488 69.611 -157.4120
32.437855 69.195 -160.8764
32.672913 68.707 -163.4847
32.909674 68.175 -165.0002
33.148151 67.645 -165.2344
33.388356 67.184 -164.1454
33.630302 66.862 -161.9493
33.874001 66.729 -159.1567
34.119466 66.789 -156.4311
34.366710 67.000 -154.3352
34.615745 67.294 -153.1519
34.866585 67.605 -152.8806
35.119243 67.887 -153.3381
35.373731 68.111 -154.2626
35.630064 68.266 -155.3827
35.888254 68.355 -156.4548
36.148315 68.390 -157.2820
36.410261 68.393 -157.7284
36.674104 68.395 -157.7324
36.939860 68.432 -157.3181
37.207542 68.538 -156.5981
37.477163 68.735 -155.7520
37.748738 69.025 -154.9785
38.022281 69.393 -154.4375
38.297806 69.808 -154.2113
38.575327 70.241 -154.2995
38.854860 70.668 -154.6454
39.136419 71.077 -155.1710
39.420017 71.468 -155.8075
39.705671 71.847 -156.5155
39.993395 72.222 -157.2901
40.283203 72.602 -158.1552
40.575112 72.989 -159.1487
40.869136 73.384 -160.3046
41.165290 73.785 -161.6398
41.463591 74.192 -163.1506
41.764053 74.605 -164.8167
42.066693 75.026 -166.6118
42.371525 75.454 -168.5145
42.678567 75.881 -170.5147
42.987834 76.296 -172.6122
43.299341 76.684 -174.8090
43.613106 77.034 -177.0977
43.929145 77.337 -179.4523
44.247473 77.592 178.1739
44.568109 77.806 175.8419
44.891068 77.995 173.6107
45.216367 78.175 171.5184
45.544023 78.363 169.5646
45.874054 78.569 167.7079
46.206476 78.797 165.8774
46.541307 79.043 163.9962
46.878565 79.300 162.0063
47.218266 79.557 159.8819
47.560429 79.809 157.6294
47.905072 80.050 155.2772
48.252212 80.279 152.8622
48.601867 80.497 150.4184
48.954056 80.703 147.9709
49.308798 80.899 145.5348
49.666109 81.084 143.1164
50.026010 81.261 140.7169
50.388520 81.431 138.3358
50.753656 81.596 135.9754
51.121437 81.759 133.6430
51.491884 81.924 131.3513
51.865016 82.092 129.1136
52.240851 82.270 126.9349
52.619410 82.465 124.8011
53.000712 82.684 122.6747
53.384777 82.935 120.4996
53.771625 83.221 118.2147
54.161276 83.543 115.7641
54.553751 83.899 113.0969
54.949070 84.286 110.1538
55.347254 84.695 106.8561
55.748323 85.110 103.1128
56.152298 85.505 98.8510
56.559201 85.850 94.0544
56.969052 86.114 88.7892
57.381873 86.270 83.2042
57.797686 86.305 77.5089
58.216512 86.214 71.9429
58.638373 86.008 66.7475
59.063291 85.714 62.1432
59.491288 85.378 58.3007
59.922386 85.070 55.2883
60.356608 84.878 52.9872
60.793977 84.875 51.0220
61.234515 85.086 48.8085
61.678246 85.458 45.7595
62.125192 85.888 41.5141
62.575377 86.271 36.0216
63.028824 86.529 29.4753
63.485557 86.617 22.1981
63.945599 86.520 14.5515
64.408975 86.242 6.8712
64.875709 85.806 -0.5790
65.345825 85.246 -7.6390
65.819348 84.601 -14.2659
66.296302 83.911 -20.5247
66.776713 83.209 -26.5572
67.260604 82.511 -32.5367
67.748002 81.812 -38.6155
68.238932 81.088 -44.8762
68.733420 80.301 -51.2920
69.231490 79.407 -57.7053
69.733170 78.370 -63.8301
70.238485 77.168 -69.2827
70.747463 75.802 -73.6472
71.260128 74.295 -76.5787
71.776508 72.693 -77.9377
72.296630 71.073 -77.9298
72.820521 69.540 -77.2014
73.348209 68.233 -76.8006
73.879720 67.291 -77.9246
74.415083 66.793 -81.5585
74.954326 66.717 -88.2529
75.497475 66.966 -98.0959
76.044561 67.438 -110.7108
76.595612 68.065 -125.2188
77.150655 68.810 -140.3706
77.709720 69.653 -154.9806
78.272837 70.565 -168.3521
78.840034 71.511 179.6516
79.411342 72.449 168.8154
79.986789 73.342 158.8381
80.566406 74.165 149.5217
81.150224 74.907 140.8232
81.738272 75.566 132.7836
82.330581 76.156 125.4229
82.927182 76.698 118.6786
83.528107 77.220 112.4009
84.133386 77.743 106.3790
84.743051 78.271 100.3849
85.357134 78.791 94.2281
85.975667 79.273 87.7973
86.598682 79.679 81.0714
87.226212 79.976 74.1034
87.858289 80.138 66.9995
88.494946 80.147 59.9045
89.136217 79.995 53.0024
89.782135 79.677 46.5248
90.432733 79.195 40.7647
91.088046 78.561 36.0770
91.748108 77.811 32.8431
92.412952 77.014 31.3489
93.082615 76.276 31.5591
93.757130 75.707 32.9321
94.436533 75.374 34.5652
95.120859 75.255 35.6647
95.810144 75.273 35.8824
96.504423 75.338 35.2819
97.203734 75.386 34.1431
97.908112 75.386 32.8112
98.617595 75.340 31.6050
99.332219 75.273 30.7409
100.052021 75.223 30.2700
100.777039 75.222 30.0743
101.507311 75.286 29.9471
102.242875 75.414 29.7015
102.983769 75.597 29.2195
103.730032 75.831 28.4301
104.481702 76.108 27.2607
105.238820 76.420 25.6139
106.001424 76.747 23.3816
106.769554 77.057 20.4891
107.543250 77.317 16.9361
108.322553 77.491 12.8124
109.107503 77.553 8.2878
109.898141 77.480 3.5952
110.694508 77.262 -0.9784
111.496646 76.905 -5.1054
112.304596 76.443 -8.4681
113.118402 75.944 -10.8722
113.938104 75.501 -12.4119
114.763747 75.206 -13.5726
115.595372 75.093 -15.1042
116.433024 75.115 -17.6732
117.276746 75.170 -21.5822
118.126581 75.145 -26.7630
118.982575 74.953 -32.9255
119.844772 74.536 -39.6696
120.713217 73.864 -46.5179
121.587954 72.933 -52.9036
122.469031 71.773 -58.0640
123.356492 70.466 -60.5516
124.250384 69.187 -55.7531
125.150753 68.242 -20.4628
126.057647 67.960 40.1794
126.971113 68.405 54.2836
127.891198 69.320 55.1083
128.817950 70.398 52.2095
129.751418 71.459 47.7528
130.691651 72.429 42.4532
131.638696 73.289 36.5936
132.592604 74.038 30.2645
133.553425 74.676 23.4616
134.521208 75.194 16.1628
135.496004 75.578 8.3808
136.477864 75.821 0.1572
137.466839 75.924 -8.4924
138.462981 75.895 -17.6340
139.466340 75.743 -27.4202
140.476971 75.473 -38.0652
141.494925 75.088 -49.8609
142.520256 74.602 -63.3006
143.553016 74.050 -79.3593
144.593260 73.491 -99.9648
145.641043 73.000 -128.0452
146.696418 72.653 -163.4072
147.759441 72.491 163.3833
148.830166 72.514 139.0300
149.908651 72.680 121.8340
150.994951 72.932 109.1509
152.089123 73.235 99.5195
153.191223 73.594 92.2588
154.301310 74.058 86.9841
155.419441 74.687 83.2544
156.545674 75.504 80.4128
157.680069 76.465 77.6953
158.822683 77.492 74.4749
159.973578 78.501 70.4146
161.132813 79.432 65.4602
162.300447 80.248 59.7445
163.476543 80.936 53.4810
164.661162 81.498 46.8936
165.854364 81.949 40.1858
167.056213 82.317 33.5144
168.266772 82.634 26.9490
169.486102 82.928 20.4485
170.714268 83.213 13.8909
171.951334 83.481 7.1395
173.197364 83.715 0.0974
174.452424 83.894 -7.2789
175.716578 83.998 -14.9863
176.989893 84.014 -22.9860
178.272434 83.934 -31.2205
179.564270 83.760 -39.6466
180.865467 83.495 -48.2629
182.176092 83.136 -57.1024
183.496216 82.669 -66.1864
184.825905 82.072 -75.4872
186.165229 81.325 -84.9258
187.514259 80.419 -94.3967
188.873065 79.357 -103.7843
190.241717 78.164 -112.9374
191.620287 76.898 -121.5280
193.008847 75.666 -128.3522
194.407468 74.635 -123.1848
195.816225 73.981 1.0437
197.235190 73.774 5.4247
198.664438 73.920 -1.3512
200.104042 74.255 -9.6935
201.554078 74.635 -18.4006
203.014622 74.969 -27.1644
204.485750 75.185 -35.8032
205.967538 75.231 -43.8730
207.460064 75.096 -50.3087
208.963405 74.832 -53.0399
210.477640 74.564 -49.0291
212.002848 74.442 -37.9163
213.539108 74.544 -27.8298
215.086500 74.814 -25.2672
216.645105 75.128 -28.6934
218.215005 75.383 -35.2816
219.796281 75.519 -43.3408
221.389015 75.513 -52.0199
222.993292 75.356 -60.8881
224.609193 75.047 -69.7106
226.236804 74.590 -78.3462
227.876209 73.984 -86.6866
229.527494 73.230 -94.6052
231.190745 72.327 -101.9202
232.866048 71.288 -108.3853
234.553491 70.148 -113.6698
236.253163 68.979 -117.2938
237.965150 67.924 -118.6389
239.689544 67.217 -117.4786
241.426433 67.098 -115.2214
243.175909 67.598 -115.0344
244.938062 68.495 -119.3594
246.712984 69.517 -128.5104
248.500768 70.487 -141.6538
250.301507 71.313 -157.6908
252.115295 71.959 -175.4530
253.942226 72.419 166.2432
255.782396 72.718 148.4406
257.635901 72.906 131.8792
259.502837 73.057 116.9286
261.383301 73.252 103.6079
263.277392 73.543 91.6611
265.185209 73.928 80.6801
267.106850 74.351 70.2615
269.042417 74.736 60.1519
270.992009 75.027 50.2946
272.955729 75.204 40.7598
274.933678 75.280 31.6219
276.925961 75.286 22.8584
278.932681 75.243 14.3378
280.953942 75.142 5.9147
282.989850 74.950 -2.4257
285.040511 74.626 -10.4661
287.106032 74.140 -17.7031
289.186521 73.496 -23.2491
291.282086 72.739 -25.7394
293.392836 71.982 -23.7776
295.518881 71.377 -17.8986
297.660333 71.013 -12.0688
299.817302 70.835 -9.8282
301.989902 70.691 -11.1335
304.178245 70.443 -14.2866
306.382446 70.038 -17.6895
308.602620 69.498 -20.2378
310.838882 68.909 -21.3196
313.091348 68.397 -20.8134
315.360137 68.089 -19.1571
317.645367 68.055 -17.3010
319.947156 68.260 -16.2798
322.265625 68.590 -16.6979
324.600895 68.920 -18.5652
326.953086 69.174 -21.4783
329.322323 69.338 -24.9612
331.708729 69.431 -28.7068
334.112427 69.484 -32.5887
336.533543 69.525 -36.6019
338.972204 69.570 -40.8536
