* Measurement data measured by REW V5.31.3
* Source: Umik-1  Gain: 18dB, , L, volume: no control. Timing signal peak level -42.1 dBFS, measurement signal peak level -38.8 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Jul 28, 2026 6:45:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; gauche :0.773 du mur gauche 0,539 mur arriere droite: 3.219 du mur gauche 0.515 mur arriere Delay 0.3056 ms (105 mm, 4.13 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset
* Measurement: R baseline Jul 28
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 46.417 -122.8869
20.287556 46.378 -121.8700
20.434568 46.304 -120.5263
20.582645 46.180 -119.1893
20.731796 45.998 -118.1404
20.882027 45.762 -117.5853
21.033346 45.488 -117.6614
21.185763 45.208 -118.4448
21.339284 44.966 -119.9454
21.493917 44.808 -122.0933
21.649671 44.773 -124.7285
21.806553 44.876 -127.6215
21.964572 45.106 -130.5227
22.123737 45.428 -133.2209
22.284054 45.794 -135.5749
22.445534 46.159 -137.5119
22.608183 46.488 -139.0013
22.772012 46.757 -140.0297
22.937027 46.954 -140.5854
23.103238 47.078 -140.6554
23.270654 47.140 -140.2353
23.439282 47.158 -139.3474
23.609133 47.154 -138.0591
23.780215 47.154 -136.4955
23.952536 47.177 -134.8291
24.126106 47.233 -133.2443
24.300934 47.320 -131.8882
24.477028 47.425 -130.8230
24.654399 47.531 -130.0063
24.833055 47.619 -129.2972
25.013005 47.674 -128.4828
25.194260 47.690 -127.3155
25.376828 47.672 -125.5478
25.560719 47.637 -122.9740
25.745942 47.617 -119.4703
25.932508 47.652 -115.0428
26.120426 47.794 -109.8658
26.309705 48.092 -104.2845
26.500356 48.586 -98.7631
26.692388 49.297 -93.7802
26.885812 50.215 -89.7235
27.080638 51.303 -86.8212
27.276876 52.505 -85.1291
27.474535 53.757 -84.5649
27.673627 55.003 -84.9668
27.874161 56.197 -86.1525
28.076149 57.306 -87.9596
28.279600 58.312 -90.2639
28.484526 59.209 -92.9785
28.690937 60.005 -96.0453
28.898843 60.718 -99.4233
29.108256 61.380 -103.0795
29.319186 62.024 -106.9868
29.531645 62.684 -111.1270
29.745644 63.384 -115.5024
29.961193 64.132 -120.1452
30.178304 64.914 -125.1217
30.396989 65.705 -130.5211
30.617258 66.475 -136.4387
30.839123 67.193 -142.9530
31.062596 67.833 -150.1075
31.287688 68.377 -157.8984
31.514412 68.811 -166.2670
31.742778 69.123 -175.1042
31.972800 69.304 175.7384
32.204488 69.346 166.4231
32.437855 69.241 157.1095
32.672913 68.980 147.9402
32.909674 68.558 139.0449
33.148151 67.972 130.5611
33.388356 67.223 122.6531
33.630302 66.319 115.5301
33.874001 65.278 109.4455
34.119466 64.131 104.6591
34.366710 62.925 101.3549
34.615745 61.729 99.5186
34.866585 60.622 98.8519
35.119243 59.671 98.8070
35.373731 58.900 98.7894
35.630064 58.291 98.3964
35.888254 57.790 97.5098
36.148315 57.344 96.2283
36.410261 56.910 94.7299
36.674104 56.455 93.1613
36.939860 55.948 91.5895
37.207542 55.362 90.0156
37.477163 54.664 88.4346
37.748738 53.825 86.9110
38.022281 52.826 85.6564
38.297806 51.665 85.0939
38.575327 50.362 85.8737
38.854860 48.977 88.7484
39.136419 47.609 94.1335
39.420017 46.383 101.4185
39.705671 45.401 108.9237
39.993395 44.691 115.1093
40.283203 44.258 119.5952
40.575112 44.195 123.0510
40.869136 44.723 127.2441
41.165290 45.995 140.8813
41.463591 47.882 -100.5070
41.764053 50.085 -76.3428
42.066693 52.363 -73.8228
42.371525 54.582 -74.9655
42.678567 56.678 -77.9295
42.987834 58.622 -82.2063
43.299341 60.396 -87.5295
43.613106 61.992 -93.6855
43.929145 63.407 -100.4687
44.247473 64.640 -107.6752
44.568109 65.695 -115.1074
44.891068 66.577 -122.5869
45.216367 67.294 -129.9610
45.544023 67.859 -137.1059
45.874054 68.291 -143.9202
46.206476 68.614 -150.3202
46.541307 68.858 -156.2399
46.878565 69.060 -161.6391
47.218266 69.252 -166.5191
47.560429 69.464 -170.9358
47.905072 69.710 -174.9964
48.252212 69.993 -178.8380
48.601867 70.304 177.4063
48.954056 70.627 173.6352
49.308798 70.952 169.7886
49.666109 71.272 165.8386
50.026010 71.581 161.7733
50.388520 71.878 157.5850
50.753656 72.159 153.2723
51.121437 72.417 148.8516
51.491884 72.647 144.3693
51.865016 72.848 139.8999
52.240851 73.028 135.5259
52.619410 73.204 131.3044
53.000712 73.399 127.2348
53.384777 73.639 123.2467
53.771625 73.942 119.2159
54.161276 74.319 114.9977
54.553751 74.773 110.4534
54.949070 75.299 105.4525
55.347254 75.884 99.8592
55.748323 76.500 93.5284
56.152298 77.109 86.3247
56.559201 77.673 78.1572
56.969052 78.154 69.0031
57.381873 78.529 58.9030
57.797686 78.787 47.9280
58.216512 78.930 36.1397
58.638373 78.969 23.5726
59.063291 78.914 10.2541
59.491288 78.771 -3.7623
59.922386 78.533 -18.3969
60.356608 78.182 -33.6080
60.793977 77.696 -49.4891
61.234515 77.059 -66.3472
61.678246 76.266 -84.7968
62.125192 75.327 -106.1304
62.575377 74.259 -134.0106
63.028824 73.089 178.7231
63.485557 71.861 107.4543
63.945599 70.640 63.0168
64.408975 69.530 36.1279
64.875709 68.686 15.0751
65.345825 68.274 -3.3625
65.819348 68.369 -20.1971
66.296302 68.901 -35.8892
66.776713 69.709 -50.7717
67.260604 70.635 -65.1295
67.748002 71.568 -79.1739
68.238932 72.434 -92.9808
68.733420 73.190 -106.4597
69.231490 73.816 -119.4224
69.733170 74.304 -131.7040
70.238485 74.663 -143.2292
70.747463 74.915 -153.9978
71.260128 75.088 -164.0464
71.776508 75.208 -173.4301
72.296630 75.288 177.7838
72.820521 75.326 169.5352
73.348209 75.308 161.8022
73.879720 75.219 154.6270
74.415083 75.048 148.1251
74.954326 74.800 142.4795
75.497475 74.500 137.9087
76.044561 74.207 134.5872
76.595612 74.005 132.5231
77.150655 73.989 131.4468
77.709720 74.214 130.8115
78.272837 74.671 129.9590
78.840034 75.290 128.3479
79.411342 75.982 125.6819
79.986789 76.662 121.8970
80.566406 77.266 117.0830
81.150224 77.746 111.4207
81.738272 78.075 105.1626
82.330581 78.244 98.6254
82.927182 78.259 92.1499
83.528107 78.143 86.0292
84.133386 77.932 80.4456
84.743051 77.665 75.4485
85.357134 77.375 70.9728
85.975667 77.085 66.8854
86.598682 76.802 63.0481
87.226212 76.527 59.3654
87.858289 76.256 55.7981
88.494946 75.981 52.3496
89.136217 75.699 49.0458
89.782135 75.409 45.9176
90.432733 75.116 42.9882
91.088046 74.827 40.2620
91.748108 74.547 37.7175
92.412952 74.279 35.3049
93.082615 74.023 32.9578
93.757130 73.771 30.6138
94.436533 73.516 28.2302
95.120859 73.244 25.7902
95.810144 72.941 23.3208
96.504423 72.587 20.9238
97.203734 72.163 18.8182
97.908112 71.662 17.3733
98.617595 71.103 17.0962
99.332219 70.555 18.4720
100.052021 70.136 21.5763
100.777039 69.964 25.6920
101.507311 70.085 29.5356
102.242875 70.447 32.0739
102.983769 70.953 32.9595
103.730032 71.514 32.3040
104.481702 72.074 30.3311
105.238820 72.594 27.2233
106.001424 73.039 23.1191
106.769554 73.375 18.1599
107.543250 73.572 12.5226
108.322553 73.604 6.4196
109.107503 73.456 0.0892
109.898141 73.118 -6.1973
110.694508 72.588 -12.0963
111.496646 71.867 -17.1255
112.304596 70.979 -20.6155
113.118402 69.991 -21.7800
113.938104 69.032 -20.1309
114.763747 68.278 -16.3458
115.595372 67.857 -12.6229
116.433024 67.734 -11.1786
117.276746 67.744 -12.6854
118.126581 67.708 -16.5278
118.982575 67.511 -21.5498
119.844772 67.116 -26.2097
120.713217 66.563 -27.8527
121.587954 65.990 -19.4279
122.469031 65.616 16.4821
123.356492 65.632 53.1486
124.250384 66.056 62.8293
125.150753 66.732 62.6135
126.057647 67.477 59.1521
126.971113 68.173 54.5071
127.891198 68.775 49.4624
128.817950 69.277 44.3218
129.751418 69.687 39.1875
130.691651 70.021 34.1021
131.638696 70.293 29.0859
132.592604 70.514 24.1079
133.553425 70.687 19.0831
134.521208 70.795 13.9429
135.496004 70.820 8.7124
136.477864 70.757 3.5081
137.466839 70.624 -1.5703
138.462981 70.454 -6.5828
139.466340 70.255 -11.7784
140.476971 69.993 -17.4307
141.494925 69.613 -23.6346
142.520256 69.074 -30.2520
143.553016 68.376 -36.9644
144.593260 67.589 -43.2695
145.641043 66.876 -48.0745
146.696418 66.484 -45.8811
147.759441 66.621 53.6482
148.830166 67.270 86.4388
149.908651 68.200 83.6249
150.994951 69.156 77.1525
152.089123 69.975 69.7109
153.191223 70.587 62.1785
154.301310 70.989 55.1074
155.419441 71.229 48.8990
156.545674 71.380 43.7594
157.680069 71.521 39.6586
158.822683 71.707 36.3776
159.973578 71.962 33.6241
161.132813 72.279 31.1418
162.300447 72.640 28.7556
163.476543 73.028 26.3668
164.661162 73.436 23.9506
165.854364 73.872 21.5509
167.056213 74.362 19.2147
168.266772 74.938 16.8669
169.486102 75.609 14.2509
170.714268 76.351 11.0148
171.951334 77.116 6.8809
173.197364 77.851 1.7472
174.452424 78.520 -4.3346
175.716578 79.099 -11.2369
176.989893 79.578 -18.8202
178.272434 79.954 -26.9677
179.564270 80.224 -35.6073
180.865467 80.380 -44.7013
182.176092 80.402 -54.2063
183.496216 80.261 -64.0181
184.825905 79.932 -73.9491
186.165229 79.398 -83.7474
187.514259 78.649 -93.1248
188.873065 77.685 -101.7656
190.241717 76.515 -109.3131
191.620287 75.152 -115.3464
193.008847 73.622 -119.3737
194.407468 71.965 -120.8843
195.816225 70.254 -119.5582
197.235190 68.603 -115.5898
198.664438 67.166 -109.6575
200.104042 66.117 -102.3231
201.554078 65.588 -93.9716
203.014622 65.582 -86.0010
204.485750 65.927 -80.9299
205.967538 66.360 -80.1094
207.460064 66.670 -82.8104
208.963405 66.747 -87.3779
210.477640 66.569 -92.0553
212.002848 66.182 -94.9529
213.539108 65.693 -93.8005
215.086500 65.278 -87.0781
216.645105 65.121 -77.6560
218.215005 65.273 -71.7133
219.796281 65.601 -71.4247
221.389015 65.906 -75.2859
222.993292 66.031 -81.3596
224.609193 65.908 -88.1357
226.236804 65.552 -94.5068
227.876209 65.051 -99.7665
229.527494 64.565 -103.7546
231.190745 64.264 -107.0172
232.866048 64.239 -110.6263
234.553491 64.433 -115.5656
236.253163 64.699 -122.1511
237.965150 64.913 -129.8940
239.689544 65.034 -137.5989
241.426433 65.116 -143.3042
243.175909 65.284 -144.3639
244.938062 65.663 -140.0425
246.712984 66.274 -136.4375
248.500768 67.025 -140.0835
250.301507 67.786 -150.5847
252.115295 68.465 -165.2418
253.942226 69.027 178.0308
255.782396 69.483 160.5785
257.635901 69.858 143.2533
259.502837 70.181 126.5520
261.383301 70.475 110.7010
263.277392 70.750 95.7500
265.185209 71.007 81.6565
267.106850 71.238 68.3348
269.042417 71.430 55.6898
270.992009 71.571 43.6461
272.955729 71.662 32.1456
274.933678 71.715 21.1121
276.925961 71.751 10.4082
278.932681 71.779 -0.1666
280.953942 71.781 -10.8257
282.989850 71.709 -21.7085
285.040511 71.510 -32.8060
287.106032 71.141 -43.9360
289.186521 70.576 -54.7216
291.282086 69.813 -64.4587
293.392836 68.870 -71.7076
295.518881 67.805 -73.1583
297.660333 66.729 -61.4261
299.817302 65.790 -34.6968
301.989902 65.122 -17.5924
304.178245 64.766 -14.4993
306.382446 64.657 -17.4625
308.602620 64.686 -22.6426
310.838882 64.759 -28.3873
313.091348 64.832 -33.5809
315.360137 64.926 -36.9088
317.645367 65.122 -36.6897
319.947156 65.511 -32.0896
322.265625 66.110 -26.0562
324.600895 66.828 -23.7185
326.953086 67.518 -26.5382
329.322323 68.049 -32.9806
331.708729 68.346 -41.2151
334.112427 68.387 -49.7874
336.533543 68.217 -57.5869
338.972204 67.945 -64.0009
341.428536 67.716 -69.2968
343.902668 67.621 -74.5986
