* Measurement data measured by REW V5.31.3
* Source: Umik-1  Gain: 18dB, , L, volume: no control. Timing signal peak level -43.0 dBFS, measurement signal peak level -33.1 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Jul 13, 2026 10:53:20 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; droite 10 gauche 11 sans eq Delay -0.0315 ms (-11 mm, -0.43 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset
* Measurement: L+R exp002 Jul 13
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 50.577 -117.7172
20.287556 50.478 -118.0113
20.434568 50.342 -118.5028
20.582645 50.203 -119.2067
20.731796 50.101 -120.1118
20.882027 50.077 -121.1661
21.033346 50.163 -122.2764
21.185763 50.374 -123.3241
21.339284 50.702 -124.1972
21.493917 51.123 -124.8221
21.649671 51.597 -125.1796
21.806553 52.085 -125.3029
21.964572 52.551 -125.2628
22.123737 52.965 -125.1478
22.284054 53.305 -125.0494
22.445534 53.554 -125.0513
22.608183 53.702 -125.2221
22.772012 53.743 -125.6115
22.937027 53.676 -126.2447
23.103238 53.506 -127.1156
23.270654 53.242 -128.1801
23.439282 52.901 -129.3462
23.609133 52.508 -130.4740
23.780215 52.096 -131.3857
23.952536 51.708 -131.8979
24.126106 51.389 -131.8773
24.300934 51.178 -131.2961
24.477028 51.093 -130.2603
24.654399 51.125 -128.9736
24.833055 51.236 -127.6435
25.013005 51.377 -126.3790
25.194260 51.504 -125.1137
25.376828 51.595 -123.5702
25.560719 51.666 -121.2393
25.745942 51.787 -117.3837
25.932508 52.082 -111.1844
26.120426 52.689 -102.2908
26.309705 53.665 -91.7889
26.500356 54.943 -82.1703
26.692388 56.375 -75.4323
26.885812 57.819 -71.9310
27.080638 59.182 -71.0661
27.276876 60.412 -72.1023
27.474535 61.486 -74.4578
27.673627 62.401 -77.7240
27.874161 63.165 -81.6124
28.076149 63.791 -85.9073
28.279600 64.298 -90.4284
28.484526 64.705 -95.0131
28.690937 65.034 -99.5093
28.898843 65.305 -103.7837
29.108256 65.536 -107.7351
29.319186 65.740 -111.3098
29.531645 65.922 -114.5089
29.745644 66.084 -117.3848
29.961193 66.221 -120.0250
30.178304 66.328 -122.5303
30.396989 66.396 -124.9903
30.617258 66.422 -127.4651
30.839123 66.408 -129.9733
31.062596 66.360 -132.4895
31.287688 66.291 -134.9495
31.514412 66.217 -137.2647
31.742778 66.156 -139.3413
31.972800 66.121 -141.1005
32.204488 66.122 -142.4929
32.437855 66.161 -143.5022
32.672913 66.236 -144.1396
32.909674 66.344 -144.4373
33.148151 66.486 -144.4477
33.388356 66.663 -144.2527
33.630302 66.882 -143.9755
33.874001 67.143 -143.7830
34.119466 67.441 -143.8665
34.366710 67.760 -144.4034
34.615745 68.074 -145.5132
34.866585 68.355 -147.2255
35.119243 68.578 -149.4689
35.373731 68.721 -152.0778
35.630064 68.775 -154.8103
35.888254 68.739 -157.3734
36.148315 68.627 -159.4551
36.410261 68.470 -160.7729
36.674104 68.310 -161.1365
36.939860 68.201 -160.5185
37.207542 68.193 -159.1015
37.477163 68.310 -157.2467
37.748738 68.547 -155.3680
38.022281 68.871 -153.7814
38.297806 69.243 -152.6229
38.575327 69.629 -151.8721
38.854860 70.013 -151.4280
39.136419 70.390 -151.1829
39.420017 70.767 -151.0659
39.705671 71.152 -151.0531
39.993395 71.551 -151.1545
40.283203 71.969 -151.3908
40.575112 72.404 -151.7760
40.869136 72.854 -152.3127
41.165290 73.315 -152.9999
41.463591 73.784 -153.8438
41.764053 74.260 -154.8658
42.066693 74.743 -156.0999
42.371525 75.233 -157.5838
42.678567 75.727 -159.3451
42.987834 76.219 -161.3903
43.299341 76.700 -163.7008
43.613106 77.158 -166.2354
43.929145 77.579 -168.9365
44.247473 77.952 -171.7380
44.568109 78.269 -174.5701
44.891068 78.529 -177.3622
45.216367 78.737 179.9560
45.544023 78.904 177.4508
45.874054 79.049 175.1788
46.206476 79.192 173.1755
46.541307 79.353 171.4433
46.878565 79.546 169.9440
47.218266 79.781 168.6018
47.560429 80.059 167.3173
47.905072 80.373 165.9898
48.252212 80.716 164.5389
48.601867 81.076 162.9161
48.954056 81.446 161.1068
49.308798 81.817 159.1216
49.666109 82.185 156.9847
50.026010 82.547 154.7244
50.388520 82.902 152.3661
50.753656 83.256 149.9303
51.121437 83.613 147.4304
51.491884 83.982 144.8692
51.865016 84.371 142.2343
52.240851 84.787 139.4936
52.619410 85.234 136.5943
53.000712 85.711 133.4670
53.384777 86.215 130.0309
53.771625 86.736 126.2029
54.161276 87.260 121.9059
54.553751 87.766 117.0826
54.949070 88.230 111.7088
55.347254 88.624 105.8067
55.748323 88.922 99.4534
56.152298 89.101 92.7794
56.559201 89.145 85.9603
56.969052 89.045 79.2003
57.381873 88.799 72.7186
57.797686 88.418 66.7407
58.216512 87.922 61.5019
58.638373 87.347 57.2552
59.063291 86.756 54.2617
59.491288 86.245 52.7125
59.922386 85.946 52.5254
60.356608 85.981 53.0840
60.793977 86.370 53.2572
61.234515 87.001 51.9273
61.678246 87.703 48.5548
62.125192 88.328 43.2316
62.575377 88.783 36.3949
63.028824 89.023 28.5693
63.485557 89.035 20.2426
63.945599 88.829 11.8267
64.408975 88.428 3.6458
64.875709 87.865 -4.0715
65.345825 87.182 -11.2007
65.819348 86.421 -17.7261
66.296302 85.627 -23.7350
66.776713 84.835 -29.3977
67.260604 84.066 -34.9294
67.748002 83.320 -40.5331
68.238932 82.574 -46.3379
68.733420 81.787 -52.3493
69.231490 80.913 -58.4291
69.733170 79.909 -64.3034
70.238485 78.746 -69.5859
70.747463 77.414 -73.8110
71.260128 75.923 -76.4853
71.776508 74.308 -77.1906
72.296630 72.634 -75.7812
72.820521 70.990 -72.6667
73.348209 69.492 -68.9519
73.879720 68.243 -66.0875
74.415083 67.286 -65.2079
74.954326 66.580 -66.8508
75.497475 66.035 -71.2241
76.044561 65.593 -78.6470
76.595612 65.264 -89.9680
77.150655 65.134 -106.9149
77.709720 65.317 -131.3462
78.272837 65.863 -160.6126
78.840034 66.705 173.6310
79.411342 67.704 154.8781
79.986789 68.724 141.3380
80.566406 69.675 130.9927
81.150224 70.521 122.6570
81.738272 71.273 115.6693
82.330581 71.975 109.6230
82.927182 72.681 104.2347
83.528107 73.424 99.2713
84.133386 74.203 94.5096
84.743051 74.993 89.7292
85.357134 75.761 84.7276
85.975667 76.474 79.3372
86.598682 77.099 73.4460
87.226212 77.604 67.0255
87.858289 77.963 60.1484
88.494946 78.156 52.9844
89.136217 78.172 45.7734
89.782135 78.003 38.8000
90.432733 77.651 32.3906
91.088046 77.127 26.9264
91.748108 76.464 22.8254
92.412952 75.731 20.4274
93.082615 75.037 19.7570
93.757130 74.508 20.2921
94.436533 74.224 21.0530
95.120859 74.168 21.0850
95.810144 74.247 19.8807
96.504423 74.346 17.4131
97.203734 74.367 13.9756
97.908112 74.244 10.0827
98.617595 73.941 6.4948
99.332219 73.472 4.3395
100.052021 72.922 5.2579
100.777039 72.476 11.1497
101.507311 72.372 22.0906
102.242875 72.737 33.4135
102.983769 73.468 39.9181
103.730032 74.342 41.0634
104.481702 75.174 38.5226
105.238820 75.866 33.8036
106.001424 76.383 27.8912
106.769554 76.727 21.3957
107.543250 76.912 14.6912
108.322553 76.951 8.0007
109.107503 76.851 1.4622
109.898141 76.615 -4.8113
110.694508 76.247 -10.6898
111.496646 75.765 -16.0177
112.304596 75.211 -20.6592
113.118402 74.657 -24.6018
113.938104 74.192 -28.0826
114.763747 73.890 -31.6329
115.595372 73.755 -35.9400
116.433024 73.715 -41.5768
117.276746 73.653 -48.8059
118.126581 73.465 -57.5951
118.982575 73.090 -67.7906
119.844772 72.516 -79.3268
120.713217 71.774 -92.4354
121.587954 70.936 -107.8575
122.469031 70.098 -126.9690
123.356492 69.366 -151.2373
124.250384 68.832 -179.6472
125.150753 68.550 153.3027
126.057647 68.535 132.1252
126.971113 68.776 116.7500
127.891198 69.250 105.4414
128.817950 69.921 96.6637
129.751418 70.737 89.2764
130.691651 71.628 82.4397
131.638696 72.525 75.5712
132.592604 73.371 68.3165
133.553425 74.123 60.5056
134.521208 74.745 52.0980
135.496004 75.213 43.1263
136.477864 75.506 33.6484
137.466839 75.615 23.7142
138.462981 75.535 13.3433
139.466340 75.270 2.5145
140.476971 74.825 -8.8455
141.494925 74.214 -20.9421
142.520256 73.471 -34.3619
143.553016 72.664 -50.8629
144.593260 71.905 -76.6266
145.641043 71.328 -131.3793
146.696418 71.031 170.2939
147.759441 71.015 143.8129
148.830166 71.204 129.0483
149.908651 71.513 119.0293
150.994951 71.912 111.9888
152.089123 72.442 107.4495
153.191223 73.181 105.1372
154.301310 74.180 104.4109
155.419441 75.402 104.0963
156.545674 76.740 102.9534
157.680069 78.073 100.2802
158.822683 79.317 95.9923
159.973578 80.419 90.3407
161.132813 81.354 83.6724
162.300447 82.114 76.3265
163.476543 82.702 68.6071
164.661162 83.127 60.7773
165.854364 83.409 53.0594
167.056213 83.578 45.6198
168.266772 83.666 38.5431
169.486102 83.708 31.8229
170.714268 83.729 25.3860
171.951334 83.744 19.1315
173.197364 83.758 12.9547
174.452424 83.768 6.7512
175.716578 83.764 0.4244
176.989893 83.732 -6.0967
178.272434 83.657 -12.8446
179.564270 83.525 -19.8313
180.865467 83.321 -27.0675
182.176092 83.021 -34.5437
183.496216 82.595 -42.1792
184.825905 82.014 -49.7944
186.165229 81.259 -57.1199
187.514259 80.324 -63.7966
188.873065 79.220 -69.2954
190.241717 77.984 -72.6691
191.620287 76.710 -71.9626
193.008847 75.588 -63.2488
194.407468 74.909 -43.1737
195.816225 74.895 -22.2439
197.235190 75.483 -12.5826
198.664438 76.403 -11.6077
200.104042 77.414 -15.2106
201.554078 78.376 -21.4062
203.014622 79.206 -29.3898
204.485750 79.846 -38.7949
205.967538 80.249 -49.3169
207.460064 80.388 -60.5658
208.963405 80.248 -72.0052
210.477640 79.831 -82.8251
212.002848 79.158 -91.5476
213.539108 78.273 -94.8336
215.086500 77.261 -84.4430
216.645105 76.248 -55.2866
218.215005 75.371 -36.5737
219.796281 74.719 -34.1310
221.389015 74.280 -38.2800
222.993292 73.961 -44.8433
224.609193 73.651 -52.2239
226.236804 73.266 -59.6831
227.876209 72.758 -66.7916
229.527494 72.105 -73.2285
231.190745 71.310 -78.7006
232.866048 70.393 -82.9314
234.553491 69.408 -85.7034
236.253163 68.440 -86.9707
237.965150 67.609 -87.0243
239.689544 67.046 -86.5344
241.426433 66.848 -86.2993
243.175909 67.046 -86.9617
244.938062 67.591 -89.0494
246.712984 68.377 -93.1394
248.500768 69.264 -99.7634
250.301507 70.134 -109.1458
252.115295 70.916 -121.1405
253.942226 71.584 -135.3799
255.782396 72.142 -151.3997
257.635901 72.609 -168.6460
259.502837 73.005 173.5468
261.383301 73.353 155.8810
263.277392 73.670 138.9192
265.185209 73.962 122.9563
267.106850 74.230 108.0387
269.042417 74.472 94.0868
270.992009 74.692 80.9838
272.955729 74.900 68.5822
274.933678 75.096 56.6929
276.925961 75.260 45.1084
278.932681 75.353 33.6641
280.953942 75.325 22.3137
282.989850 75.128 11.1981
285.040511 74.733 0.7128
287.106032 74.137 -8.3927
289.186521 73.372 -14.8026
291.282086 72.514 -16.4259
293.392836 71.681 -11.3853
295.518881 70.987 -2.3259
297.660333 70.458 3.5927
299.817302 70.003 3.9702
301.989902 69.488 1.0869
304.178245 68.822 -2.3964
306.382446 67.990 -4.4283
308.602620 67.076 -3.5436
310.838882 66.261 0.7064
313.091348 65.769 6.9644
315.360137 65.730 12.5530
317.645367 66.084 15.6421
319.947156 66.661 16.0813
322.265625 67.310 14.4943
324.600895 67.956 11.5286
326.953086 68.571 7.5596
329.322323 69.130 2.6265
331.708729 69.583 -3.3873
334.112427 69.861 -10.4857
336.533543 69.902 -18.4138
338.972204 69.669 -26.6956
341.428536 69.160 -34.7806
343.902668 68.405 -42.1891
346.394729 67.462 -48.6268
