* Measurement data measured by REW V5.31.3
* Source: Umik-1  Gain: 18dB, , L, volume: no control. Timing signal peak level -40.8 dBFS, measurement signal peak level -35.9 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Jul 14, 2026 9:43:21 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; droite 10 gauche 11 sans eq Delay -0.0059 ms (-2.0 mm, -0.08 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset
* Measurement: R exp002 Jul 14
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 44.556 -113.5455
20.287556 44.825 -114.4360
20.434568 45.186 -115.7239
20.582645 45.569 -117.2780
20.731796 45.920 -118.9791
20.882027 46.202 -120.7227
21.033346 46.394 -122.4149
21.185763 46.490 -123.9619
21.339284 46.494 -125.2651
21.493917 46.419 -126.2216
21.649671 46.291 -126.7277
21.806553 46.146 -126.6960
21.964572 46.027 -126.0820
22.123737 45.978 -124.9121
22.284054 46.027 -123.3004
22.445534 46.181 -121.4294
22.608183 46.419 -119.4955
22.772012 46.695 -117.6498
22.937027 46.959 -115.9615
23.103238 47.161 -114.4194
23.270654 47.262 -112.9566
23.439282 47.235 -111.4817
23.609133 47.065 -109.9088
23.780215 46.751 -108.1879
23.952536 46.307 -106.3381
24.126106 45.763 -104.4856
24.300934 45.167 -102.8889
24.477028 44.584 -101.9100
24.654399 44.089 -101.9044
24.833055 43.743 -103.0252
25.013005 43.578 -105.0497
25.194260 43.581 -107.3419
25.376828 43.714 -108.9793
25.560719 43.949 -108.9348
25.745942 44.307 -106.1730
25.932508 44.863 -99.8691
26.120426 45.702 -90.1924
26.309705 46.839 -79.3750
26.500356 48.191 -70.7157
26.692388 49.628 -65.9544
26.885812 51.038 -64.9229
27.080638 52.350 -66.7365
27.276876 53.533 -70.4967
27.474535 54.573 -75.4351
27.673627 55.470 -80.9188
27.874161 56.227 -86.4444
28.076149 56.847 -91.6449
28.279600 57.338 -96.2805
28.484526 57.714 -100.2254
28.690937 57.995 -103.4454
28.898843 58.208 -105.9898
29.108256 58.385 -107.9836
29.319186 58.551 -109.6135
29.531645 58.723 -111.0914
29.745644 58.901 -112.6011
29.961193 59.073 -114.2389
30.178304 59.218 -115.9741
30.396989 59.321 -117.6370
30.617258 59.385 -118.9364
30.839123 59.434 -119.5044
31.062596 59.525 -118.9858
31.287688 59.736 -117.1902
31.514412 60.136 -114.2871
31.742778 60.745 -110.8843
31.972800 61.515 -107.8169
32.204488 62.359 -105.7522
32.437855 63.184 -104.9703
32.672913 63.923 -105.4224
32.909674 64.539 -106.8961
33.148151 65.024 -109.1349
33.388356 65.388 -111.8903
33.630302 65.659 -114.9361
33.874001 65.871 -118.0733
34.119466 66.061 -121.1457
34.366710 66.257 -124.0580
34.615745 66.471 -126.7882
34.866585 66.694 -129.3775
35.119243 66.905 -131.8984
35.373731 67.077 -134.4129
35.630064 67.189 -136.9365
35.888254 67.231 -139.4198
36.148315 67.205 -141.7481
36.410261 67.134 -143.7602
36.674104 67.051 -145.2893
36.939860 66.996 -146.2175
37.207542 67.007 -146.5306
37.477163 67.110 -146.3430
37.748738 67.310 -145.8707
38.022281 67.593 -145.3638
38.297806 67.938 -145.0349
38.575327 68.324 -145.0191
38.854860 68.733 -145.3736
39.136419 69.156 -146.0974
39.420017 69.583 -147.1523
39.705671 70.007 -148.4781
39.993395 70.419 -150.0004
40.283203 70.814 -151.6369
40.575112 71.192 -153.3052
40.869136 71.560 -154.9364
41.165290 71.931 -156.4923
41.463591 72.322 -157.9828
41.764053 72.752 -159.4740
42.066693 73.228 -161.0821
42.371525 73.749 -162.9474
42.678567 74.302 -165.1989
42.987834 74.862 -167.9237
43.299341 75.401 -171.1532
43.613106 75.894 -174.8670
43.929145 76.316 -179.0031
44.247473 76.647 176.5311
44.568109 76.875 171.8549
44.891068 76.991 167.1136
45.216367 76.992 162.4799
45.544023 76.883 158.1493
45.874054 76.677 154.3305
46.206476 76.397 151.2219
46.541307 76.082 148.9736
46.878565 75.783 147.6362
47.218266 75.554 147.1100
47.560429 75.439 147.1355
47.905072 75.451 147.3563
48.252212 75.575 147.4360
48.601867 75.772 147.1590
48.954056 76.007 146.4613
49.308798 76.251 145.3996
49.666109 76.493 144.0978
50.026010 76.729 142.6974
50.388520 76.964 141.3187
50.753656 77.208 140.0373
51.121437 77.470 138.8724
51.491884 77.761 137.7888
51.865016 78.087 136.7105
52.240851 78.451 135.5414
52.619410 78.851 134.1873
53.000712 79.278 132.5750
53.384777 79.722 130.6628
53.771625 80.174 128.4432
54.161276 80.627 125.9359
54.553751 81.077 123.1744
54.949070 81.523 120.1890
55.347254 81.968 116.9918
55.748323 82.409 113.5707
56.152298 82.842 109.8962
56.559201 83.252 105.9417
56.969052 83.621 101.7082
57.381873 83.932 97.2475
57.797686 84.174 92.6715
58.216512 84.352 88.1421
58.638373 84.492 83.8304
59.063291 84.644 79.8448
59.491288 84.865 76.1425
59.922386 85.198 72.4816
60.356608 85.643 68.4803
60.793977 86.151 63.7745
61.234515 86.651 58.1666
61.678246 87.077 51.6671
62.125192 87.382 44.4382
62.575377 87.543 36.7072
63.028824 87.555 28.6999
63.485557 87.420 20.6075
63.945599 87.145 12.5834
64.408975 86.737 4.7540
64.875709 86.203 -2.7612
65.345825 85.548 -9.8373
65.819348 84.785 -16.3430
66.296302 83.929 -22.1563
66.776713 82.997 -27.1828
67.260604 82.008 -31.3580
67.748002 80.979 -34.6224
68.238932 79.925 -36.8839
68.733420 78.871 -38.0063
69.231490 77.860 -37.8657
69.733170 76.955 -36.4927
70.238485 76.239 -34.2432
70.747463 75.777 -31.8210
71.260128 75.574 -30.0212
71.776508 75.571 -29.3770
72.296630 75.677 -30.0302
72.820521 75.809 -31.8452
73.348209 75.903 -34.5736
73.879720 75.920 -37.9513
74.415083 75.836 -41.7250
74.954326 75.641 -45.6509
75.497475 75.338 -49.4943
76.044561 74.940 -53.0460
76.595612 74.476 -56.1525
77.150655 73.985 -58.7533
77.709720 73.518 -60.9197
78.272837 73.125 -62.8723
78.840034 72.836 -64.9423
79.411342 72.650 -67.4690
79.986789 72.533 -70.6949
80.566406 72.437 -74.7244
81.150224 72.317 -79.5524
81.738272 72.142 -85.1179
82.330581 71.902 -91.3428
82.927182 71.599 -98.1636
83.528107 71.232 -105.5725
84.133386 70.794 -113.6391
84.743051 70.272 -122.4695
85.357134 69.660 -132.1219
85.975667 68.972 -142.5598
86.598682 68.253 -153.6700
87.226212 67.590 -165.2123
87.858289 67.097 -175.5685
88.494946 66.866 -13.9792
89.136217 66.909 -25.3103
89.782135 67.144 -38.2689
90.432733 67.450 -52.0128
91.088046 67.721 -66.6356
91.748108 67.883 -82.1432
92.412952 67.895 -98.4197
93.082615 67.739 -115.3088
93.757130 67.421 -132.6635
94.436533 66.969 -150.3905
95.120859 66.433 -168.4526
95.810144 65.883 173.2736
96.504423 65.396 155.1820
97.203734 65.035 137.8995
97.908112 64.828 122.0053
98.617595 64.757 107.8093
99.332219 64.775 95.3293
100.052021 64.821 84.3787
100.777039 64.843 74.7005
101.507311 64.810 66.1066
102.242875 64.707 58.5295
102.983769 64.536 51.9808
103.730032 64.312 46.4966
104.481702 64.070 42.1129
105.238820 63.859 38.8192
106.001424 63.740 36.4624
106.769554 63.767 34.6635
107.543250 63.950 32.8552
108.322553 64.237 30.5020
109.107503 64.536 27.3711
109.898141 64.769 23.6015
110.694508 64.908 19.5527
111.496646 64.981 15.6217
112.304596 65.056 12.0837
113.118402 65.204 8.9341
113.938104 65.466 5.8414
114.763747 65.831 2.3056
115.595372 66.251 -2.1204
116.433024 66.663 -7.6998
117.276746 67.010 -14.4944
118.126581 67.247 -22.4308
118.982575 67.347 -31.3975
119.844772 67.296 -41.3196
120.713217 67.090 -52.1992
121.587954 66.734 -64.1301
122.469031 66.245 -77.3118
123.356492 65.647 -92.0858
124.250384 64.979 -109.0334
125.150753 64.298 -129.0776
126.057647 63.689 -153.0525
126.971113 63.259 -179.9475
127.891198 63.105 154.0907
128.817950 63.267 132.3451
129.751418 63.706 115.0134
130.691651 64.330 100.8081
131.638696 65.039 88.4775
132.592604 65.751 77.1433
133.553425 66.409 66.2244
134.521208 66.977 55.3469
135.496004 67.431 44.2828
136.477864 67.752 32.8749
137.466839 67.923 20.9690
138.462981 67.936 8.4053
139.466340 67.803 -4.9285
140.476971 67.558 -19.0651
141.494925 67.256 -34.0443
142.520256 66.957 -50.0962
143.553016 66.700 -67.7457
144.593260 66.493 -87.6002
145.641043 66.311 -109.6580
146.696418 66.120 -132.5168
147.759441 65.909 -153.7109
148.830166 65.730 -171.2610
149.908651 65.723 175.4814
150.994951 66.071 166.1216
152.089123 66.879 159.5985
153.191223 68.076 154.4648
154.301310 69.485 149.3749
155.419441 70.941 143.5328
156.545674 72.344 136.7225
157.680069 73.639 129.0378
158.822683 74.799 120.6266
159.973578 75.802 111.6082
161.132813 76.634 102.1064
162.300447 77.292 92.2859
163.476543 77.782 82.3391
164.661162 78.119 72.4464
165.854364 78.326 62.7473
167.056213 78.424 53.3335
168.266772 78.437 44.2460
169.486102 78.386 35.4674
170.714268 78.285 26.9248
171.951334 78.141 18.5216
173.197364 77.948 10.1807
174.452424 77.695 1.8639
175.716578 77.369 -6.4325
176.989893 76.951 -14.6847
178.272434 76.420 -22.8223
179.564270 75.761 -30.7190
180.865467 74.964 -38.2203
182.176092 74.031 -45.1906
183.496216 72.980 -51.5455
184.825905 71.846 -57.2740
186.165229 70.697 -62.4349
187.514259 69.651 -67.0851
188.873065 68.879 -71.0013
190.241717 68.573 -72.5801
191.620287 68.836 -61.6550
193.008847 69.593 12.8395
194.407468 70.643 39.4213
195.816225 71.782 36.4783
197.235190 72.872 27.7037
198.664438 73.839 16.7076
200.104042 74.659 4.5262
201.554078 75.336 -8.4586
203.014622 75.875 -22.1466
204.485750 76.271 -36.5817
205.967538 76.508 -51.8467
207.460064 76.568 -68.0303
208.963405 76.444 -85.3062
210.477640 76.139 -104.2947
212.002848 75.671 -128.1692
213.539108 75.064 166.9384
215.086500 74.348 61.7985
216.645105 73.564 35.5109
218.215005 72.761 18.5933
219.796281 71.997 4.7533
221.389015 71.324 -7.3741
222.993292 70.770 -18.4567
224.609193 70.311 -28.9568
226.236804 69.878 -39.1411
227.876209 69.379 -49.0264
229.527494 68.735 -58.3666
231.190745 67.900 -66.7084
232.866048 66.866 -73.4749
234.553491 65.663 -78.0222
236.253163 64.368 -79.7832
237.965150 63.119 -78.7715
239.689544 62.096 -76.3291
241.426433 61.423 -74.8223
243.175909 61.065 -75.9434
244.938062 60.858 -79.8755
246.712984 60.648 -86.0015
248.500768 60.362 -93.7449
250.301507 59.998 -102.8979
252.115295 59.587 -113.5996
253.942226 59.181 -126.1409
255.782396 58.863 -140.7451
257.635901 58.765 -157.4199
259.502837 59.020 -175.7275
261.383301 59.649 165.3833
263.277392 60.511 147.1326
265.185209 61.399 130.1973
267.106850 62.151 114.6353
269.042417 62.679 100.3442
270.992009 62.966 87.3245
272.955729 63.041 75.6316
274.933678 62.959 65.2832
276.925961 62.779 56.2485
278.932681 62.541 48.5410
280.953942 62.276 42.4102
282.989850 62.048 38.5220
285.040511 62.001 37.8398
287.106032 62.326 40.8347
289.186521 63.097 46.0498
291.282086 64.179 50.0054
293.392836 65.336 49.9910
295.518881 66.364 45.7720
297.660333 67.134 38.4641
299.817302 67.578 29.3540
301.989902 67.669 19.5840
304.178245 67.409 10.2017
306.382446 66.835 2.2473
308.602620 66.024 -3.1982
310.838882 65.120 -5.2231
313.091348 64.330 -3.9287
315.360137 63.850 -1.4321
317.645367 63.723 -0.7449
319.947156 63.806 -3.2300
322.265625 63.894 -8.4153
324.600895 63.842 -15.2070
326.953086 63.587 -22.5200
329.322323 63.145 -29.4143
331.708729 62.602 -35.2593
334.112427 62.093 -40.1460
336.533543 61.724 -45.2253
338.972204 61.488 -52.1719
341.428536 61.276 -62.2178
343.902668 60.985 -76.4998
