* Measurement data measured by REW V5.31.3
* Source: Umik-1  Gain: 18dB, , L, volume: no control. Timing signal peak level -41.2 dBFS, measurement signal peak level -33.4 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Jul 7, 2026 3:58:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: droite 10 gauche 11 Delay 0.1069 ms (37 mm, 1.44 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset
* Measurement: L retour sans eq Jul 7
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 46.118 -153.5039
20.287556 45.946 -154.3558
20.434568 45.710 -155.2697
20.582645 45.467 -155.6721
20.731796 45.268 -155.0684
20.882027 45.150 -153.2059
21.033346 45.124 -150.1551
21.185763 45.176 -146.2929
21.339284 45.274 -142.1750
21.493917 45.381 -138.3712
21.649671 45.467 -135.3590
21.806553 45.520 -133.4815
21.964572 45.547 -132.9613
22.123737 45.581 -133.8945
22.284054 45.665 -136.1929
22.445534 45.843 -139.5118
22.608183 46.133 -143.2413
22.772012 46.517 -146.6435
22.937027 46.946 -149.0757
23.103238 47.358 -150.1126
23.270654 47.699 -149.5228
23.439282 47.938 -147.1614
23.609133 48.063 -142.8872
23.780215 48.091 -136.5723
23.952536 48.055 -128.2384
24.126106 47.995 -118.3211
24.300934 47.935 -107.8332
24.477028 47.870 -98.0797
24.654399 47.763 -90.0672
24.833055 47.562 -84.1823
25.013005 47.218 -80.3296
25.194260 46.718 -78.1363
25.376828 46.117 -76.9777
25.560719 45.583 -75.7298
25.745942 45.426 -72.3065
25.932508 45.954 -64.1615
26.120426 47.194 -52.4605
26.309705 48.874 -43.6244
26.500356 50.688 -40.3162
26.692388 52.442 -40.7436
26.885812 54.039 -43.0779
27.080638 55.431 -46.3691
27.276876 56.603 -50.2117
27.474535 57.554 -54.4507
27.673627 58.295 -59.0366
27.874161 58.847 -63.9508
28.076149 59.233 -69.1684
28.279600 59.482 -74.6288
28.484526 59.622 -80.2235
28.690937 59.677 -85.7935
28.898843 59.663 -91.1480
29.108256 59.588 -96.0863
29.319186 59.449 -100.4114
29.531645 59.241 -103.9114
29.745644 58.969 -106.3045
29.961193 58.668 -107.1578
30.178304 58.432 -105.8318
30.396989 58.426 -101.6311
30.617258 58.834 -94.5066
30.839123 59.722 -86.1164
31.062596 60.968 -79.2998
31.287688 62.367 -75.7727
31.514412 63.746 -75.4550
31.742778 65.001 -77.5270
31.972800 66.082 -81.1945
32.204488 66.969 -85.8799
32.437855 67.659 -91.1893
32.672913 68.161 -96.8425
32.909674 68.487 -102.6167
33.148151 68.660 -108.3092
33.388356 68.706 -113.7303
33.630302 68.656 -118.7103
33.874001 68.548 -123.1224
34.119466 68.417 -126.9135
34.366710 68.300 -130.1191
34.615745 68.219 -132.8549
34.866585 68.183 -135.2739
35.119243 68.184 -137.5109
35.373731 68.205 -139.6360
35.630064 68.226 -141.6389
35.888254 68.233 -143.4469
36.148315 68.222 -144.9633
36.410261 68.200 -146.1098
36.674104 68.186 -146.8608
36.939860 68.201 -147.2571
37.207542 68.266 -147.3983
37.477163 68.394 -147.4115
37.748738 68.587 -147.4145
38.022281 68.836 -147.4884
38.297806 69.125 -147.6720
38.575327 69.440 -147.9741
38.854860 69.769 -148.3933
39.136419 70.106 -148.9301
39.420017 70.454 -149.5900
39.705671 70.818 -150.3805
39.993395 71.208 -151.3064
40.283203 71.629 -152.3714
40.575112 72.084 -153.5831
40.869136 72.564 -154.9606
41.165290 73.060 -156.5376
41.463591 73.554 -158.3571
41.764053 74.031 -160.4604
42.066693 74.479 -162.8722
42.371525 74.886 -165.5875
42.678567 75.246 -168.5646
42.987834 75.554 -171.7266
43.299341 75.810 -174.9708
43.613106 76.013 -178.1847
43.929145 76.170 178.7372
44.247473 76.293 175.8752
44.568109 76.398 173.2701
44.891068 76.505 170.9124
45.216367 76.632 168.7401
45.544023 76.787 166.6512
45.874054 76.965 164.5331
46.206476 77.150 162.3000
46.541307 77.320 159.9258
46.878565 77.455 157.4586
47.218266 77.546 155.0131
47.560429 77.594 152.7424
47.905072 77.613 150.7946
48.252212 77.627 149.2657
48.601867 77.664 148.1633
48.954056 77.747 147.3990
49.308798 77.891 146.8189
49.666109 78.097 146.2592
50.026010 78.356 145.5958
50.388520 78.660 144.7642
50.753656 78.996 143.7471
51.121437 79.357 142.5486
51.491884 79.739 141.1727
51.865016 80.141 139.6155
52.240851 80.560 137.8667
52.619410 80.998 135.9112
53.000712 81.454 133.7288
53.384777 81.924 131.2916
53.771625 82.402 128.5665
54.161276 82.877 125.5234
54.553751 83.332 122.1480
54.949070 83.751 118.4534
55.347254 84.122 114.4878
55.748323 84.436 110.3353
56.152298 84.693 106.1106
56.559201 84.905 101.9446
56.969052 85.090 97.9593
57.381873 85.277 94.2329
57.797686 85.498 90.7635
58.216512 85.780 87.4470
58.638373 86.137 84.0878
59.063291 86.564 80.4471
59.491288 87.036 76.3134
59.922386 87.518 71.5586
60.356608 87.977 66.1548
60.793977 88.389 60.1501
61.234515 88.738 53.6271
61.678246 89.015 46.6659
62.125192 89.211 39.3285
62.575377 89.316 31.6683
63.028824 89.315 23.7538
63.485557 89.192 15.6885
63.945599 88.932 7.6166
64.408975 88.527 -0.2882
64.875709 87.977 -7.8415
65.345825 87.294 -14.8694
65.819348 86.500 -21.2308
66.296302 85.621 -26.8362
66.776713 84.687 -31.6604
67.260604 83.726 -35.7379
67.748002 82.761 -39.1356
68.238932 81.807 -41.9071
68.733420 80.867 -44.0372
69.231490 79.945 -45.4138
69.733170 79.054 -45.8671
70.238485 78.240 -45.3099
70.747463 77.570 -43.9326
71.260128 77.111 -42.2810
71.776508 76.879 -41.0630
72.296630 76.828 -40.8176
72.820521 76.879 -41.7501
73.348209 76.951 -43.7906
73.879720 76.980 -46.7188
74.415083 76.925 -50.2466
74.954326 76.766 -54.0630
75.497475 76.504 -57.8630
76.044561 76.160 -61.3811
76.595612 75.779 -64.4406
77.150655 75.423 -67.0178
77.709720 75.159 -69.3017
78.272837 75.034 -71.6763
78.840034 75.051 -74.5926
79.411342 75.178 -78.4036
79.986789 75.365 -83.2993
80.566406 75.567 -89.3583
81.150224 75.747 -96.6188
81.738272 75.879 -105.0858
82.330581 75.940 -114.6993
82.927182 75.911 -125.3486
83.528107 75.778 -136.9503
84.133386 75.535 -149.5214
84.743051 75.180 -163.1875
85.357134 74.716 -178.1300
85.975667 74.145 165.5098
86.598682 73.474 147.7219
87.226212 72.715 128.6097
87.858289 71.899 108.2663
88.494946 71.079 86.7134
89.136217 70.321 63.9442
89.782135 69.684 39.7583
90.432733 69.195 13.2072
91.088046 68.840 -18.6511
91.748108 68.579 -63.1369
92.412952 68.376 -121.0904
93.082615 68.211 -166.1689
93.757130 68.079 164.7449
94.436533 67.987 143.4824
95.120859 67.944 126.2836
95.810144 67.959 111.6145
96.504423 68.033 98.7710
97.203734 68.147 87.3585
97.908112 68.266 77.0764
98.617595 68.345 67.6831
99.332219 68.341 59.0359
100.052021 68.227 51.1063
100.777039 67.992 43.9648
101.507311 67.641 37.7540
102.242875 67.188 32.6510
102.983769 66.659 28.8416
103.730032 66.100 26.5100
104.481702 65.584 25.7789
105.238820 65.207 26.5339
106.001424 65.057 28.2365
106.769554 65.160 29.9899
107.543250 65.451 30.9467
108.322553 65.822 30.6981
109.107503 66.173 29.3115
109.898141 66.456 27.1019
110.694508 66.668 24.3967
111.496646 66.838 21.4204
112.304596 67.009 18.2817
113.118402 67.213 14.9767
113.938104 67.468 11.3901
114.763747 67.762 7.3241
115.595372 68.060 2.5651
116.433024 68.311 -3.0402
117.276746 68.462 -9.5426
118.126581 68.468 -16.9131
118.982575 68.304 -25.0917
119.844772 67.961 -34.0220
120.713217 67.446 -43.7070
121.587954 66.783 -54.3397
122.469031 66.022 -66.5066
123.356492 65.251 -81.6732
124.250384 64.612 -103.7900
125.150753 64.294 -142.3442
126.057647 64.449 166.7484
126.971113 65.074 133.4874
127.891198 66.022 114.0444
128.817950 67.115 100.1283
129.751418 68.221 88.4973
130.691651 69.259 77.8477
131.638696 70.187 67.5889
132.592604 70.986 57.4385
133.553425 71.655 47.2645
134.521208 72.203 37.0051
135.496004 72.637 26.6185
136.477864 72.959 16.0675
137.466839 73.166 5.3053
138.462981 73.250 -5.7554
139.466340 73.211 -17.2373
140.476971 73.056 -29.2579
141.494925 72.793 -41.9390
142.520256 72.432 -55.4392
143.553016 71.979 -69.9513
144.593260 71.436 -85.6604
145.641043 70.807 -102.6364
146.696418 70.114 -120.6398
147.759441 69.422 -138.9059
148.830166 68.877 -156.1564
149.908651 68.699 -171.1144
150.994951 69.073 176.7201
152.089123 69.989 166.8003
153.191223 71.251 158.0341
154.301310 72.641 149.4849
155.419441 74.016 140.6597
156.545674 75.306 131.4132
157.680069 76.479 121.7676
158.822683 77.520 111.7946
159.973578 78.416 101.5677
161.132813 79.152 91.1631
162.300447 79.722 80.6763
163.476543 80.124 70.2262
164.661162 80.364 59.9419
165.854364 80.456 49.9475
167.056213 80.418 40.3490
168.266772 80.272 31.2181
169.486102 80.041 22.5774
170.714268 79.746 14.3994
171.951334 79.401 6.6237
173.197364 79.013 -0.8156
174.452424 78.577 -7.9590
175.716578 78.078 -14.7917
176.989893 77.499 -21.2209
178.272434 76.827 -27.0756
179.564270 76.066 -32.1765
180.865467 75.244 -36.4561
182.176092 74.405 -40.0426
183.496216 73.586 -43.2014
184.825905 72.803 -46.1488
186.165229 72.055 -48.8964
187.514259 71.340 -51.1621
188.873065 70.685 -52.1990
190.241717 70.170 -50.3663
191.620287 69.946 -42.6775
193.008847 70.164 -27.2463
194.407468 70.833 -11.3159
195.816225 71.781 -3.9633
197.235190 72.795 -4.4906
198.664438 73.734 -9.6133
200.104042 74.541 -17.2610
201.554078 75.199 -26.4091
203.014622 75.698 -36.6005
204.485750 76.023 -47.5836
205.967538 76.160 -59.0317
207.460064 76.120 -70.2971
208.963405 75.948 -79.8633
210.477640 75.715 -82.6484
212.002848 75.492 -52.2271
213.539108 75.308 -0.3293
215.086500 75.148 3.7325
216.645105 74.975 -3.5345
218.215005 74.767 -13.1913
219.796281 74.527 -23.1879
221.389015 74.267 -32.9398
222.993292 73.989 -42.3298
224.609193 73.673 -51.3853
226.236804 73.278 -60.1117
227.876209 72.756 -68.3921
229.527494 72.067 -75.9448
231.190745 71.198 -82.3345
232.866048 70.170 -87.0002
234.553491 69.042 -89.3491
236.253163 67.923 -89.1282
237.965150 66.954 -87.0852
239.689544 66.241 -85.0159
241.426433 65.770 -84.4915
243.175909 65.420 -85.8484
244.938062 65.061 -88.5259
246.712984 64.617 -91.7847
248.500768 64.073 -95.1116
250.301507 63.453 -98.3254
252.115295 62.787 -101.4902
253.942226 62.102 -104.7559
255.782396 61.420 -108.2896
257.635901 60.761 -112.2988
259.502837 60.134 -117.0015
261.383301 59.528 -122.4482
263.277392 58.915 -128.2300
265.185209 58.271 -133.0352
267.106850 57.605 -133.1099
269.042417 56.952 -113.0054
270.992009 56.375 -49.8101
272.955729 55.964 -23.4435
274.933678 55.857 -14.1083
276.925961 56.178 -7.6375
278.932681 56.959 -2.5322
280.953942 58.134 2.6121
282.989850 59.614 11.5491
285.040511 61.296 27.0452
287.106032 63.049 42.5999
289.186521 64.734 49.3641
291.282086 66.237 47.6300
293.392836 67.482 40.5226
295.518881 68.422 30.3507
297.660333 69.034 18.6418
299.817302 69.312 6.4601
301.989902 69.262 -5.3673
304.178245 68.898 -16.0841
306.382446 68.260 -24.9207
308.602620 67.431 -31.1506
310.838882 66.561 -34.3824
313.091348 65.862 -35.1129
315.360137 65.525 -35.0181
317.645367 65.584 -36.0563
319.947156 65.889 -39.1866
322.265625 66.242 -44.2734
324.600895 66.508 -50.6849
326.953086 66.642 -57.7144
329.322323 66.677 -64.8002
331.708729 66.703 -71.7051
334.112427 66.809 -78.6313
336.533543 67.021 -86.1191
338.972204 67.281 -94.6802
341.428536 67.496 -104.4839
