* Measurement data measured by REW V5.31.3
* Source: Umik-1  Gain: 18dB, , L, volume: no control. Timing signal peak level -41.6 dBFS, measurement signal peak level -38.8 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Jul 7, 2026 3:58:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: droite 10 gauche 11 Delay -0.1054 ms (-36 mm, -1.42 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset
* Measurement: R retour sans eq Jul 7
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 44.767 -117.0627
20.287556 44.772 -118.7810
20.434568 44.756 -121.1298
20.582645 44.691 -123.6850
20.731796 44.553 -126.1491
20.882027 44.329 -128.3880
21.033346 44.027 -130.4043
21.185763 43.681 -132.2927
21.339284 43.356 -134.1857
21.493917 43.145 -136.1873
21.649671 43.146 -138.3070
21.806553 43.419 -140.4178
21.964572 43.945 -142.2968
22.123737 44.639 -143.7308
22.284054 45.389 -144.5983
22.445534 46.096 -144.8759
22.608183 46.686 -144.5923
22.772012 47.110 -143.7746
22.937027 47.337 -142.4151
23.103238 47.351 -140.4508
23.270654 47.152 -137.7514
23.439282 46.754 -134.1222
23.609133 46.197 -129.3418
23.780215 45.554 -123.3026
23.952536 44.946 -116.3029
24.126106 44.530 -109.3347
24.300934 44.451 -103.8834
24.477028 44.764 -101.0883
24.654399 45.398 -101.1138
24.833055 46.214 -103.2738
25.013005 47.074 -106.5628
25.194260 47.877 -110.1046
25.376828 48.560 -113.3203
25.560719 49.093 -115.8850
25.745942 49.475 -117.5956
25.932508 49.736 -118.2637
26.120426 49.940 -117.6648
26.309705 50.189 -115.5835
26.500356 50.603 -111.9825
26.692388 51.266 -107.2519
26.885812 52.185 -102.2744
27.080638 53.280 -98.0696
27.276876 54.439 -95.2986
27.474535 55.559 -94.1234
27.673627 56.573 -94.4021
27.874161 57.439 -95.9098
28.076149 58.143 -98.4487
28.279600 58.686 -101.8683
28.484526 59.088 -106.0395
28.690937 59.383 -110.8091
28.898843 59.617 -115.9617
29.108256 59.848 -121.2084
29.319186 60.137 -126.2384
29.531645 60.530 -130.8190
29.745644 61.054 -134.9024
29.961193 61.699 -138.6603
30.178304 62.430 -142.4263
30.396989 63.198 -146.5749
30.617258 63.955 -151.4146
30.839123 64.659 -157.1245
31.062596 65.279 -163.7427
31.287688 65.794 -171.1860
31.514412 66.189 -179.2848
31.742778 66.449 172.1731
31.972800 66.565 163.4019
32.204488 66.527 154.5861
32.437855 66.326 145.8792
32.672913 65.960 137.4163
32.909674 65.429 129.3435
33.148151 64.738 121.8505
33.388356 63.902 115.1821
33.630302 62.945 109.6258
33.874001 61.907 105.4567
34.119466 60.844 102.8408
34.366710 59.826 101.7137
34.615745 58.919 101.7102
34.866585 58.162 102.2424
35.119243 57.547 102.7020
35.373731 57.033 102.6522
35.630064 56.570 101.8806
35.888254 56.127 100.3440
36.148315 55.696 98.0981
36.410261 55.285 95.2637
36.674104 54.900 92.0255
36.939860 54.529 88.6284
37.207542 54.141 85.3451
37.477163 53.686 82.4235
37.748738 53.111 80.0408
38.022281 52.372 78.2732
38.297806 51.450 77.0588
38.575327 50.349 76.1291
38.854860 49.119 74.9095
39.136419 47.858 72.4732
39.420017 46.736 67.7529
39.705671 45.967 60.1225
39.993395 45.727 49.8863
40.283203 46.064 37.8838
40.575112 46.917 24.5860
40.869136 48.196 10.1382
41.165290 49.792 -4.6504
41.463591 51.573 -18.1786
41.764053 53.411 -29.3871
42.066693 55.207 -38.4564
42.371525 56.902 -46.1923
42.678567 58.461 -53.3505
42.987834 59.872 -60.3982
43.299341 61.132 -67.5263
43.613106 62.245 -74.7360
43.929145 63.220 -81.9260
44.247473 64.070 -88.9614
44.568109 64.817 -95.7098
44.891068 65.487 -102.0562
45.216367 66.113 -107.9105
45.544023 66.730 -113.2295
45.874054 67.363 -118.0453
46.206476 68.023 -122.4865
46.541307 68.704 -126.7643
46.878565 69.385 -131.1197
47.218266 70.039 -135.7524
47.560429 70.640 -140.7664
47.905072 71.170 -146.1507
48.252212 71.622 -151.7979
48.601867 71.997 -157.5456
48.954056 72.306 -163.2260
49.308798 72.564 -168.7048
49.666109 72.791 -173.9043
50.026010 73.004 -178.8046
50.388520 73.221 176.5679
50.753656 73.452 172.1597
51.121437 73.705 167.9075
51.491884 73.988 163.7461
51.865016 74.309 159.6085
52.240851 74.675 155.4168
52.619410 75.094 151.0754
53.000712 75.565 146.4708
53.384777 76.083 141.4816
53.771625 76.636 135.9942
54.161276 77.209 129.9155
54.553751 77.785 123.1718
54.949070 78.348 115.7011
55.347254 78.881 107.4435
55.748323 79.369 98.3410
56.152298 79.794 88.3474
56.559201 80.143 77.4398
56.969052 80.407 65.6215
57.381873 80.587 52.9081
57.797686 80.693 39.2991
58.216512 80.745 24.7381
58.638373 80.772 9.0814
59.063291 80.795 -7.9059
59.491288 80.824 -26.5019
59.922386 80.852 -46.9092
60.356608 80.850 -69.0928
60.793977 80.780 -92.6520
61.234515 80.600 -116.8376
61.678246 80.273 -140.7537
62.125192 79.770 -163.6323
62.575377 79.070 175.0165
63.028824 78.166 155.4465
63.485557 77.060 137.7881
63.945599 75.768 122.0775
64.408975 74.322 108.1666
64.875709 72.774 95.6116
65.345825 71.206 83.6296
65.819348 69.756 71.0648
66.296302 68.627 56.0636
66.776713 68.040 34.7163
67.260604 68.091 -1.6833
67.748002 68.660 -51.9746
68.238932 69.508 -87.8428
68.733420 70.425 -109.6820
69.231490 71.286 -125.6387
69.733170 72.035 -138.9387
70.238485 72.661 -150.6917
70.747463 73.178 -161.2872
71.260128 73.607 -170.8881
71.776508 73.967 -179.6034
72.296630 74.267 172.4619
72.820521 74.504 165.2146
73.348209 74.669 158.5991
73.879720 74.754 152.6234
74.415083 74.762 147.3672
74.954326 74.714 142.9688
75.497475 74.660 139.5734
76.044561 74.675 137.2382
76.595612 74.843 135.8145
77.150655 75.216 134.8896
77.709720 75.790 133.8848
78.272837 76.506 132.2693
78.840034 77.284 129.7244
79.411342 78.054 126.1559
79.986789 78.765 121.6124
80.566406 79.379 116.2079
81.150224 79.871 110.0883
81.738272 80.221 103.4355
82.330581 80.419 96.4784
82.927182 80.465 89.4836
83.528107 80.370 82.7219
84.133386 80.159 76.4259
84.743051 79.865 70.7501
85.357134 79.526 65.7430
85.975667 79.176 61.3407
86.598682 78.845 57.3895
87.226212 78.547 53.6963
87.858289 78.286 50.0823
88.494946 78.053 46.4213
89.136217 77.827 42.6591
89.782135 77.583 38.8206
90.432733 77.302 34.9996
91.088046 76.978 31.3276
91.748108 76.615 27.9241
92.412952 76.232 24.8453
93.082615 75.854 22.0493
93.757130 75.502 19.3969
94.436533 75.189 16.6879
95.120859 74.903 13.7260
95.810144 74.615 10.3960
96.504423 74.280 6.7345
97.203734 73.847 2.9714
97.908112 73.272 -0.4561
98.617595 72.537 -2.9014
99.332219 71.669 -3.5343
100.052021 70.756 -1.5050
100.777039 69.957 3.5765
101.507311 69.476 10.8848
102.242875 69.453 18.2893
102.983769 69.866 23.7113
103.730032 70.561 26.3053
104.481702 71.370 26.2122
105.238820 72.169 23.8948
106.001424 72.884 19.8026
106.769554 73.471 14.3031
107.543250 73.902 7.7074
108.322553 74.159 0.3073
109.107503 74.230 -7.6093
109.898141 74.108 -15.7673
110.694508 73.793 -23.9302
111.496646 73.290 -31.9047
112.304596 72.611 -39.5211
113.118402 71.779 -46.6154
113.938104 70.832 -53.0264
114.763747 69.833 -58.6387
115.595372 68.890 -63.5160
116.433024 68.152 -68.1310
117.276746 67.756 -73.4996
118.126581 67.718 -80.9442
118.982575 67.909 -91.6044
119.844772 68.147 -106.1378
120.713217 68.302 -124.5635
121.587954 68.308 -145.9170
122.469031 68.153 -168.1256
123.356492 67.857 171.1050
124.250384 67.448 153.1819
125.150753 66.972 138.5636
126.057647 66.494 127.2438
126.971113 66.124 119.0164
127.891198 65.999 113.4362
128.817950 66.218 109.6740
129.751418 66.760 106.6211
130.691651 67.498 103.2998
131.638696 68.281 99.1824
132.592604 68.994 94.2036
133.553425 69.572 88.6018
134.521208 69.997 82.7211
135.496004 70.285 76.8547
136.477864 70.463 71.1575
137.466839 70.540 65.6299
138.462981 70.495 60.2209
139.466340 70.283 55.0592
140.476971 69.868 50.6411
141.494925 69.255 47.7910
142.520256 68.517 47.3785
143.553016 67.799 49.8070
144.593260 67.288 54.4972
145.641043 67.135 60.0393
146.696418 67.381 65.0813
147.759441 67.959 68.8363
148.830166 68.739 70.9094
149.908651 69.581 71.1124
150.994951 70.359 69.4996
152.089123 70.976 66.4320
153.191223 71.377 62.5256
154.301310 71.556 58.5107
155.419441 71.553 55.0671
156.545674 71.453 52.6829
157.680069 71.364 51.5582
158.822683 71.393 51.5587
159.973578 71.613 52.2302
161.132813 72.033 52.9104
162.300447 72.601 52.9435
163.476543 73.231 51.9165
164.661162 73.843 49.7706
165.854364 74.387 46.7322
167.056213 74.853 43.1355
168.266772 75.261 39.2588
169.486102 75.643 35.2382
170.714268 76.027 31.0593
171.951334 76.424 26.6008
173.197364 76.825 21.7080
174.452424 77.205 16.2654
175.716578 77.543 10.2329
176.989893 77.820 3.6287
178.272434 78.028 -3.5245
179.564270 78.156 -11.2361
180.865467 78.181 -19.5299
182.176092 78.062 -28.3751
183.496216 77.754 -37.6168
184.825905 77.219 -46.9501
186.165229 76.435 -55.9250
187.514259 75.401 -63.8979
188.873065 74.145 -69.7676
190.241717 72.738 -70.9985
191.620287 71.329 -59.6583
193.008847 70.182 -18.4604
194.407468 69.636 16.4781
195.816225 69.885 26.5753
197.235190 70.809 28.3940
198.664438 72.113 27.0868
200.104042 73.546 23.8287
201.554078 74.948 18.8451
203.014622 76.227 12.2103
204.485750 77.324 4.0460
205.967538 78.195 -5.4452
207.460064 78.806 -15.9766
208.963405 79.128 -27.1753
210.477640 79.137 -38.5757
212.002848 78.815 -49.6062
213.539108 78.165 -59.6117
215.086500 77.218 -67.9816
216.645105 76.041 -74.3621
218.215005 74.735 -78.8674
219.796281 73.415 -82.1230
221.389015 72.180 -84.9561
222.993292 71.071 -87.8997
224.609193 70.065 -90.9783
226.236804 69.127 -93.9194
227.876209 68.243 -96.5066
229.527494 67.431 -98.7935
231.190745 66.717 -101.0667
232.866048 66.098 -103.6392
234.553491 65.542 -106.6182
236.253163 65.003 -109.7354
237.965150 64.477 -112.3037
239.689544 64.054 -113.3892
241.426433 63.938 -112.3721
243.175909 64.324 -109.9292
244.938062 65.215 -108.4214
246.712984 66.404 -110.2900
248.500768 67.662 -116.3538
250.301507 68.841 -126.0879
252.115295 69.876 -138.5586
253.942226 70.746 -152.8870
255.782396 71.453 -168.3289
257.635901 72.007 175.7534
259.502837 72.424 159.8877
261.383301 72.734 144.4412
263.277392 72.975 129.5913
265.185209 73.189 115.3706
267.106850 73.409 101.7241
269.042417 73.638 88.5486
270.992009 73.859 75.7307
272.955729 74.044 63.1770
274.933678 74.168 50.8096
276.925961 74.213 38.5559
278.932681 74.166 26.3574
280.953942 74.010 14.1809
282.989850 73.727 2.0298
285.040511 73.296 -10.0415
287.106032 72.696 -21.9258
289.186521 71.908 -33.4529
291.282086 70.916 -44.3491
293.392836 69.704 -54.1731
295.518881 68.265 -62.2441
297.660333 66.609 -67.5437
299.817302 64.769 -68.4568
301.989902 62.825 -62.0413
304.178245 60.948 -42.6592
306.382446 59.477 -8.0012
308.602620 58.871 23.5425
310.838882 59.328 42.5435
313.091348 60.534 52.9490
315.360137 62.023 57.0432
317.645367 63.490 56.1692
319.947156 64.783 51.6450
322.265625 65.846 44.6931
324.600895 66.671 36.3030
326.953086 67.270 27.1550
329.322323 67.650 17.6672
331.708729 67.802 8.1562
334.112427 67.717 -1.0129
336.533543 67.407 -9.3987
338.972204 66.926 -16.6260
341.428536 66.371 -22.6519
343.902668 65.858 -27.8999
346.394729 65.471 -32.9863
348.904848 65.251 -38.3145
351.433156 65.222 -44.0361
353.979786 65.409 -50.2373
